,umber.csv,openwbem.csv,wpdev.csv,orc.csv,vienna-add-in.csv,ivataopenportal.csv,plato.csv,onotoa.csv,yarp0.csv,rodin-b-sharp.csv,lcfizvtop.csv,elynx.csv,tycho.csv,xcmetadataservicestoolkit.csv,lite.csv,fityk.csv,codesmith.csv,ta3d.csv,jfreechart.csv
codesmith.csv,0.43,0.49,0.42,0.34,0.61,0.5,0.47,0.42,0.52,0.4,0.46,0.49,0.6,0.46,0.43,0.38,0.44,0.42,0.33
fityk.csv,0.57,0.6,0.69,0.69,0.79,0.51,0.58,0.66,0.55,0.61,0.52,0.45,0.0,0.49,0.82,0.44,0.91,0.5,0.69
ivataopenportal.csv,0.4,0.5,0.45,0.31,0.49,0.56,0.5,0.35,0.46,0.44,0.53,0.48,0.5,0.47,0.38,0.51,0.5,0.37,0.31
lcfizvtop.csv,0.58,0.47,0.44,0.64,0.56,0.72,0.42,0.43,0.53,0.5,0.75,0.45,0.5,0.55,0.54,0.64,0.55,0.47,0.35
lite.csv,0.9,0.96,0.73,0.94,0.83,0.92,0.5,0.89,0.75,0.98,0.0,0.82,0.0,0.7,0.71,0.67,0.8,0.86,0.91
onotoa.csv,0.46,0.67,0.48,0.36,0.52,0.65,0.5,0.39,0.43,0.49,0.45,0.49,0.89,0.57,0.63,0.42,0.65,0.5,0.69
openwbem.csv,0.58,0.63,0.45,0.39,0.48,0.73,0.53,0.41,0.49,0.46,0.46,0.5,0.48,0.48,0.41,0.61,0.39,0.49,0.4
orc.csv,0.5,0.99,0.94,0.92,0.45,0.97,0.47,0.6,0.5,0.98,0.0,0.0,0.75,0.8,0.51,0.83,0.93,0.0,0.0
plato.csv,0.41,0.49,0.41,0.31,0.53,0.45,0.45,0.41,0.42,0.42,0.4,0.44,0.49,0.36,0.47,0.39,0.46,0.48,0.3
rodin-b-sharp.csv,0.0,0.99,0.72,0.95,0.8,0.83,0.89,0.94,0.0,0.68,0.0,0.75,0.0,0.92,0.0,0.67,0.94,0.75,0.5
ta3d.csv,0.5,0.56,0.4,0.33,0.47,0.47,0.41,0.39,0.47,0.45,0.5,0.5,0.48,0.4,0.47,0.37,0.4,0.44,0.34
tycho.csv,0.47,0.52,0.48,0.51,0.55,0.46,0.69,0.54,0.62,0.59,0.71,0.87,0.54,0.55,0.5,0.58,0.48,0.52,0.42
umber.csv,0.58,0.75,0.83,0.55,0.9,0.64,0.67,0.7,0.48,0.56,0.68,0.39,0.43,0.67,0.86,0.61,0.5,0.58,0.4
vienna-add-in.csv,0.5,0.72,0.43,0.32,0.53,0.5,0.45,0.51,0.59,0.52,0.42,0.47,0.64,0.33,0.52,0.63,0.48,0.4,0.3
wpdev.csv,0.34,0.49,0.39,0.29,0.4,0.43,0.4,0.38,0.39,0.38,0.45,0.34,0.42,0.31,0.36,0.35,0.42,0.41,0.28
xcmetadataservicestoolkit.csv,0.41,0.74,0.57,0.49,0.54,0.54,0.5,0.49,0.86,0.87,0.75,0.38,0.67,0.39,0.88,0.73,0.68,0.0,0.33
yarp0.csv,0.56,0.61,0.51,0.43,0.56,0.48,0.5,0.57,0.62,0.47,0.53,0.42,0.89,0.44,0.42,0.5,0.73,0.54,0.56
