,umber.csv,openwbem.csv,wpdev.csv,orc.csv,vienna-add-in.csv,ivataopenportal.csv,plato.csv,onotoa.csv,yarp0.csv,rodin-b-sharp.csv,lcfizvtop.csv,elynx.csv,tycho.csv,xcmetadataservicestoolkit.csv,lite.csv,fityk.csv,codesmith.csv,ta3d.csv,jfreechart.csv
codesmith.csv,0.8,0.87,0.5,0.83,0.49,0.3,0.62,0.69,0.39,0.7,0.6,0.59,0.61,0.67,0.51,0.82,0.0,0.75,0.8
fityk.csv,0.35,0.41,0.0,0.24,0.34,0.88,0.5,0.44,0.34,0.4,0.46,0.66,0.0,0.73,0.17,0.0,0.15,0.5,0.35
ivataopenportal.csv,0.71,0.67,0.5,0.89,0.59,0.04,0.75,0.56,0.47,0.66,0.54,0.49,0.46,0.67,0.78,0.45,0.47,0.69,0.85
lcfizvtop.csv,0.22,0.33,0.5,0.24,0.41,0.17,0.62,0.62,0.24,0.35,0.02,0.37,0.07,0.4,0.49,0.45,0.26,0.44,0.59
lite.csv,0.0,0.03,0.0,0.11,0.0,0.06,0.0,0.12,0.05,0.13,0.02,0.19,0.0,0.07,0.0,0.05,0.03,0.06,0.11
onotoa.csv,0.62,0.56,1.0,0.79,0.71,0.63,0.88,0.06,0.82,0.77,0.85,0.63,0.21,0.33,0.61,0.68,0.29,0.62,0.24
openwbem.csv,0.56,0.01,1.0,0.7,0.66,0.44,0.75,0.81,0.79,0.71,0.71,0.58,0.57,0.53,0.73,0.59,0.65,0.69,0.66
orc.csv,0.8,0.13,0.0,0.0,0.85,0.16,1.0,0.31,0.05,0.15,0.0,0.0,0.07,0.47,0.73,0.09,0.12,0.0,0.01
plato.csv,0.96,0.98,1.0,0.95,0.76,0.94,0.0,0.88,0.76,0.88,0.94,0.75,0.82,1.0,0.76,0.82,0.62,0.88,0.94
rodin-b-sharp.csv,0.0,0.22,0.5,0.09,0.05,0.02,0.12,0.12,0.0,0.0,0.0,0.07,0.0,0.2,0.0,0.09,0.29,0.12,0.02
ta3d.csv,0.67,0.33,0.0,0.86,0.8,0.5,0.5,0.69,0.68,0.67,0.42,0.41,0.71,0.73,0.88,0.82,0.59,0.0,0.76
tycho.csv,0.8,0.77,0.0,0.51,0.41,0.93,0.0,0.62,0.5,0.48,0.44,0.24,0.0,0.33,0.54,0.59,0.38,0.5,0.62
umber.csv,0.0,0.22,0.0,0.32,0.0,0.24,0.38,0.19,0.42,0.34,0.4,0.59,0.18,0.33,0.07,0.41,0.44,0.25,0.55
vienna-add-in.csv,0.33,0.3,0.0,0.84,0.0,0.7,0.62,0.5,0.47,0.53,0.69,0.66,0.54,0.93,0.51,0.45,0.79,0.94,0.9
wpdev.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.75,0.81,1.0,1.0,0.9,0.97,0.86,0.93,1.0,1.0,0.76,1.0,1.0
xcmetadataservicestoolkit.csv,0.53,0.17,0.0,0.5,0.34,0.52,0.38,0.62,0.13,0.14,0.06,0.42,0.32,0.0,0.15,0.14,0.41,0.0,0.83
yarp0.csv,0.49,0.29,0.5,0.53,0.66,0.25,0.0,0.38,0.0,0.38,0.5,0.73,0.25,0.6,0.39,0.32,0.41,0.38,0.33
