,gpsmid.csv,emftriple.csv,fluent-nhibernate.csv,columba.csv
columba.csv,0.76,0.0,0.29,0.97
emftriple.csv,0.0,1.0,0.0,0.25
fluent-nhibernate.csv,0.65,0.0,1.0,0.37
gpsmid.csv,1.0,0.02,0.19,0.56
