,empyrean.csv,amanda.csv,nutz.csv,impala.csv,multitude.csv,pi-qmc.csv
amanda.csv,0.57,0.51,0.64,0.45,0.55,0.47
empyrean.csv,0.53,0.51,0.55,0.48,0.55,0.5
impala.csv,0.71,0.49,0.58,0.96,0.54,0.64
multitude.csv,0.47,0.48,0.49,0.44,0.52,0.59
nutz.csv,0.54,0.77,0.67,0.65,0.55,0.52
pi-qmc.csv,0.57,0.5,0.56,0.56,0.73,0.59
