,sauerbraten.csv,brlcad.csv,linuxsh.csv,konversation.csv,gnupdate.csv,ogre.csv,bdbbasic.csv,qse.csv,turbotrader-bos.csv,projecteqemu.csv,modplug.csv,openfrag.csv,xapian.csv,google-gears.csv,linux-ntfs.csv,sandiaportals.csv,nativeclient.csv,genoviz.csv
bdbbasic.csv,0.29,0.12,0.07,0.54,0.06,0.5,0.16,0.06,0.85,0.51,0.62,0.3,0.3,0.27,0.79,0.39,0.06,0.62
brlcad.csv,0.96,0.44,0.65,0.17,0.07,0.0,0.47,0.26,0.07,0.16,0.04,0.06,0.03,0.03,0.28,0.22,0.02,0.24
genoviz.csv,0.04,0.04,0.0,0.04,0.0,0.5,0.02,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.11
gnupdate.csv,0.88,0.57,0.33,0.59,0.16,0.0,0.35,0.32,0.69,0.6,0.38,0.3,0.35,0.19,0.62,0.56,0.13,0.73
google-gears.csv,0.29,0.59,0.27,0.89,0.78,0.5,0.9,0.87,0.99,0.42,0.62,0.94,0.93,0.35,0.79,0.94,0.98,0.84
konversation.csv,0.33,0.29,0.22,0.18,0.34,0.5,0.14,0.38,0.46,0.49,0.12,0.43,0.2,0.35,0.45,0.33,0.23,0.64
linux-ntfs.csv,0.29,0.41,0.31,0.29,0.23,1.0,0.55,0.32,0.38,0.69,0.92,0.47,0.84,0.41,0.34,0.39,0.56,0.82
linuxsh.csv,0.79,0.3,0.51,0.1,0.26,0.0,0.22,0.17,0.25,0.22,0.12,0.04,0.03,0.08,0.21,0.06,0.05,0.16
modplug.csv,0.92,0.88,0.98,0.71,0.97,1.0,0.88,0.96,0.67,0.82,0.21,0.81,0.7,0.78,0.9,0.61,0.73,0.91
nativeclient.csv,0.33,0.53,0.49,0.46,0.48,0.5,0.43,0.4,0.42,0.69,0.08,0.49,0.12,0.46,0.62,0.22,0.28,0.56
ogre.csv,0.12,0.38,0.42,0.88,0.23,0.0,0.57,0.55,0.69,0.76,0.33,0.85,0.68,0.86,0.48,0.78,0.83,0.47
openfrag.csv,0.88,0.75,0.58,0.41,0.4,1.0,0.88,0.04,0.55,0.51,0.21,0.25,0.17,0.27,0.97,0.28,0.25,0.89
projecteqemu.csv,0.42,0.73,0.55,0.1,0.6,0.75,0.29,0.49,0.31,0.27,0.12,0.04,0.01,0.11,0.41,0.0,0.28,0.8
qse.csv,0.58,0.08,0.02,0.32,0.01,0.5,0.0,0.21,0.81,0.53,0.5,0.23,0.26,0.11,0.17,0.0,0.02,0.53
sandiaportals.csv,0.96,0.81,0.89,0.39,0.43,0.5,0.69,0.64,0.49,0.49,0.12,0.19,0.2,0.24,0.9,0.22,0.25,0.89
sauerbraten.csv,0.25,0.98,1.0,0.98,1.0,1.0,1.0,1.0,0.66,0.98,0.88,0.98,0.95,0.92,1.0,1.0,0.99,0.89
turbotrader-bos.csv,0.42,0.3,0.09,0.11,0.1,0.0,0.14,0.15,0.24,0.24,0.0,0.06,0.1,0.05,0.52,0.0,0.05,0.58
xapian.csv,0.5,0.59,0.69,0.53,0.4,1.0,0.71,0.49,0.71,0.62,0.29,0.7,0.23,0.78,0.79,0.06,0.76,0.84
