,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.42,0.64,0.58,0.59,0.61,0.64,0.54,0.39,0.66,0.52,0.63,0.58,0.56
bdbbasic.csv,0.21,0.1,0.55,0.53,0.79,0.63,0.46,0.46,0.58,0.5,0.42,0.0,0.54
foursquared.csv,0.0,0.0,0.0,0.82,0.0,0.01,0.06,0.0,0.43,0.13,0.25,0.04,0.0
impala.csv,0.76,0.54,0.46,0.51,0.44,0.44,0.47,0.59,0.49,0.35,0.55,0.56,0.43
jicarilla.csv,0.88,0.01,0.13,0.0,0.0,0.05,0.04,0.0,0.1,0.18,0.0,0.0,0.06
ng4j.csv,0.11,0.59,0.7,0.76,0.62,0.51,0.68,0.19,0.67,0.54,0.6,0.42,0.79
open-data-kit.csv,0.38,0.53,0.4,0.0,0.0,0.8,0.64,0.4,0.56,0.43,0.67,0.63,0.65
pentahoanalysistool.csv,0.31,0.37,0.7,0.72,0.51,0.43,0.19,0.23,0.33,0.13,0.13,0.55,0.34
tradelink.csv,0.52,0.51,0.44,0.61,0.3,0.49,0.54,0.3,0.5,0.16,0.8,0.19,0.68
turbotrader-bos.csv,0.0,0.64,0.64,0.51,0.66,0.24,0.31,0.44,0.73,0.25,0.6,0.21,0.45
ultimairis.csv,0.4,0.4,0.69,0.68,0.7,0.71,0.55,0.5,0.69,0.71,0.58,0.0,0.65
wikipediardware.csv,0.43,0.4,0.74,0.53,0.65,0.65,0.48,0.24,0.53,0.42,0.49,0.76,0.57
yafdotnet.csv,0.07,0.62,0.45,0.6,0.37,0.51,0.71,0.46,0.65,0.62,0.43,0.13,0.59
