,empyrean.csv,amanda.csv,nutz.csv,bdbbasic.csv,gnome-jabber.csv
amanda.csv,0.77,0.04,0.55,0.61,0.83
bdbbasic.csv,0.71,0.56,0.45,0.05,0.59
empyrean.csv,0.03,0.78,0.7,0.58,0.98
gnome-jabber.csv,0.97,0.98,0.98,0.98,0.4
nutz.csv,0.63,0.62,0.1,0.85,1.01
