,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.67,0.35,0.35,0.34,0.27,0.36,0.12,0.63,0.62,0.45,0.3,0.1
archive-crawler.csv,0.14,0.27,0.24,0.19,0.25,0.36,0.6,0.2,0.59,0.29,0.6,0.26
blue-c.csv,0.65,0.57,0.57,0.53,0.55,0.16,0.2,0.47,0.72,0.47,0.53,0.67
dynalloy.csv,0.81,0.3,0.67,0.55,0.82,0.16,0.62,0.8,0.57,0.67,0.6,0.7
jcae.csv,0.16,0.15,0.22,0.23,0.0,0.08,0.05,0.08,0.06,0.44,0.2,0.07
kmatplot.csv,0.28,0.43,0.66,1.0,0.02,0.96,0.38,0.57,0.28,0.55,0.57,0.99
mscore.csv,0.88,0.93,0.92,0.7,0.55,0.36,0.24,0.61,0.59,0.84,0.93,0.76
nosleepsoftware.csv,0.02,0.04,0.03,0.17,0.0,0.04,0.24,0.06,0.02,0.13,0.37,0.04
openmalaria.csv,0.53,0.62,0.95,0.68,0.11,0.28,0.47,0.2,0.51,0.62,0.93,0.64
popeye-chess.csv,0.36,0.26,0.62,0.47,0.2,0.24,0.32,0.18,0.34,0.42,0.6,0.43
riff-evolve.csv,0.36,0.14,0.73,0.34,0.23,0.0,0.08,0.1,0.24,0.38,0.47,0.57
virtuoso.csv,0.67,0.99,0.97,1.0,0.07,1.0,0.79,0.92,0.95,0.82,0.9,0.09
