,selenium.csv,pcgen.csv,autoopencas.csv,tolven.csv
autoopencas.csv,0.83,0.84,0.33,0.98
pcgen.csv,0.93,0.4,0.81,0.92
selenium.csv,0.45,0.45,0.69,0.47
tolven.csv,0.61,0.49,1.01,0.31
