,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,omseek.csv,img-browse-sort.csv,illumination.csv,miranda.csv
bacula.csv,0.4,0.47,0.47,0.39,0.45,0.45,0.5,0.42,0.48,0.48,0.43,0.37,0.51,0.44,0.59,0.44,0.7,0.35
decidr.csv,0.53,0.45,0.4,0.4,0.56,0.48,0.37,0.4,0.47,0.42,0.42,0.32,0.44,0.4,0.49,0.29,0.39,0.35
elmo.csv,0.64,0.52,0.96,0.85,0.55,0.5,0.86,0.91,0.8,0.9,0.58,0.92,0.91,0.5,0.72,0.67,0.48,0.64
gpac.csv,0.53,0.49,0.41,0.59,0.46,0.42,0.42,0.39,0.65,0.61,0.37,0.5,0.42,0.43,0.51,0.4,0.38,0.38
illumination.csv,0.0,0.56,0.94,0.96,0.49,0.0,0.5,0.43,0.0,0.47,0.95,0.0,0.0,0.54,0.69,0.3,0.71,0.0
img-browse-sort.csv,0.41,0.43,0.5,0.42,0.51,0.44,0.48,0.41,0.52,0.52,0.36,0.47,0.63,0.39,0.59,0.56,0.42,0.37
jajuk.csv,0.35,0.32,0.39,0.38,0.39,0.34,0.38,0.33,0.4,0.38,0.35,0.33,0.37,0.39,0.39,0.38,0.37,0.31
ktc.csv,0.41,0.4,0.4,0.42,0.48,0.38,0.89,0.3,0.5,0.54,0.42,0.38,0.4,0.45,0.43,0.3,0.42,0.33
miranda.csv,0.44,0.75,0.48,0.97,0.83,0.0,0.69,0.4,0.98,0.51,0.72,0.93,0.44,0.0,0.48,0.0,0.61,0.36
neoengine.csv,0.5,0.5,0.46,0.38,0.49,0.4,0.43,0.4,0.67,0.44,0.36,0.32,0.44,0.43,0.45,0.34,0.37,0.35
nicepress.csv,0.42,0.51,0.45,0.41,0.41,0.45,0.5,0.39,0.44,0.46,0.36,0.34,0.44,0.6,0.65,0.37,0.51,0.34
omseek.csv,0.96,0.0,0.97,0.62,0.93,0.88,0.0,0.6,0.97,0.9,0.77,0.75,0.96,0.44,0.68,0.42,0.88,0.73
rosegarden.csv,0.37,0.41,0.45,0.4,0.5,0.4,0.56,0.45,0.53,0.47,0.39,0.41,0.47,0.61,0.5,0.41,0.89,0.32
smarttag.csv,0.35,0.35,0.44,0.48,0.52,0.37,0.4,0.5,0.44,0.49,0.48,0.5,0.44,0.47,0.45,0.42,0.39,0.39
sylpheed-claws.csv,0.37,0.5,0.42,0.37,0.5,0.41,0.37,0.51,0.4,0.42,0.35,0.36,0.44,0.38,0.43,0.29,0.34,0.35
vapor.csv,0.0,0.43,0.49,0.98,0.48,0.54,0.91,0.39,0.75,0.51,0.44,0.51,0.36,0.4,0.55,0.67,0.93,0.83
zorannt.csv,0.52,0.39,0.96,0.48,0.47,0.47,0.44,0.91,0.88,0.64,0.48,0.51,0.43,0.56,0.49,0.52,0.43,0.37
zscreen.csv,0.39,0.88,0.42,0.41,0.53,0.42,0.53,0.43,0.45,0.47,0.43,0.35,0.43,0.49,0.47,0.33,0.36,0.34
