,reactos-mirror.csv,flylegacy.csv,etics.csv,bloodycore.csv,gzigzag.csv,blue-c.csv,jguard.csv,flexpay.csv,unbvision.csv,ppcboot.csv,auber.csv,img-browse-sort.csv,qdvdauthor.csv,biodwh.csv,ftm.csv,jcache.csv
auber.csv,0.41,0.59,0.6,0.35,0.41,0.28,0.09,0.46,0.15,0.33,0.0,0.29,0.37,0.37,0.17,0.17
biodwh.csv,0.14,0.59,0.07,0.39,0.19,1.0,0.75,0.09,0.01,0.0,0.53,0.11,0.68,0.0,0.24,0.2
bloodycore.csv,0.7,0.64,0.74,0.0,0.81,0.68,0.68,0.4,0.59,0.65,0.31,0.74,0.47,0.69,0.92,0.78
blue-c.csv,0.34,0.32,0.26,0.32,0.31,0.0,0.41,0.4,0.61,0.33,0.47,0.24,0.26,0.31,0.44,0.15
etics.csv,0.19,0.41,0.0,0.26,0.26,0.04,0.27,0.15,0.2,0.04,0.16,0.16,0.26,0.14,0.15,0.05
flexpay.csv,0.74,0.68,0.5,0.65,0.71,1.0,0.55,0.0,0.78,0.64,0.82,0.55,0.74,0.14,0.7,0.0
flylegacy.csv,0.21,0.0,0.26,0.53,0.43,0.16,0.29,0.55,0.4,0.07,0.27,0.53,0.63,0.42,0.79,0.22
ftm.csv,0.1,0.23,0.07,0.11,0.15,0.0,0.07,0.09,0.19,0.01,0.11,0.16,0.16,0.2,0.03,0.05
gzigzag.csv,0.68,0.18,0.36,0.18,0.01,0.68,0.16,0.28,0.4,0.76,0.07,0.32,0.26,0.39,0.24,0.05
img-browse-sort.csv,0.15,0.14,0.48,0.28,0.29,0.0,0.23,0.25,0.26,0.91,0.24,0.0,0.21,0.15,0.18,0.1
jcache.csv,0.28,0.32,0.31,0.34,0.52,0.0,0.41,0.4,0.55,0.45,0.24,0.37,0.21,0.27,0.0,0.0
jguard.csv,0.98,0.55,0.69,0.62,0.53,0.32,0.02,0.55,0.74,0.93,0.42,0.55,0.95,0.66,0.61,0.2
ppcboot.csv,0.44,0.18,0.48,0.4,0.57,0.6,0.43,0.48,0.34,0.02,0.35,0.37,0.42,0.54,0.61,0.12
qdvdauthor.csv,0.58,0.64,0.4,0.51,0.39,0.32,0.52,0.48,0.8,0.38,0.6,0.29,0.0,0.58,0.58,0.85
reactos-mirror.csv,0.0,0.45,0.79,0.66,0.72,0.04,0.52,0.85,0.46,0.9,0.78,0.5,0.47,0.79,0.51,0.27
unbvision.csv,0.59,0.45,0.43,0.13,0.69,0.32,0.12,0.59,0.0,0.7,0.25,0.32,0.42,0.56,0.82,0.17
