,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv
adobe-source.csv,0.0,0.11,0.21,0.08,0.0,0.0,0.41,0.22,0.0,0.27,0.04,0.27,0.18,0.9,0.2
atlc.csv,0.73,0.63,0.79,0.85,0.98,1.0,0.96,0.65,0.76,0.7,0.87,0.79,0.59,0.7,0.67
ipfilter.csv,0.91,0.48,0.86,1.0,0.32,0.67,0.93,0.83,1.0,0.49,0.83,0.75,0.74,0.8,0.98
liferea.csv,0.36,0.59,0.64,1.0,0.2,1.0,0.78,0.57,0.06,0.51,0.43,0.35,0.39,0.6,0.37
miranda-icq.csv,0.09,0.33,0.43,0.62,0.24,0.33,0.39,0.57,0.12,0.22,0.52,0.94,0.43,0.37,0.48
opensim4opencog.csv,0.09,0.19,0.29,0.23,0.22,0.33,0.52,0.96,0.0,0.24,0.3,0.42,0.33,0.0,0.09
pclasses.csv,1.0,0.44,0.14,0.0,0.0,0.0,0.04,0.09,0.0,0.03,0.0,0.02,0.02,0.03,0.04
pfaedit.csv,0.0,0.52,0.57,0.62,0.07,0.67,0.98,0.35,0.06,0.38,0.48,0.23,0.16,0.53,0.3
psrchive.csv,0.27,0.04,0.93,0.0,0.05,0.0,0.15,0.17,0.29,0.16,0.13,0.17,0.07,0.17,0.13
theresa.csv,0.0,0.04,0.07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
thrust.csv,0.18,0.15,0.79,0.62,0.54,1.0,0.91,0.61,0.88,0.38,0.7,0.52,0.45,0.77,0.96
tktoolkit.csv,0.55,0.59,0.86,0.08,0.05,0.67,0.78,0.17,1.0,0.46,0.78,0.27,0.55,0.53,0.33
tzod.csv,0.27,0.96,0.43,0.62,0.22,0.67,0.74,0.57,0.0,0.54,0.52,0.42,0.45,0.17,0.2
yaprm.csv,0.55,0.37,0.71,0.15,0.15,1.0,0.15,0.3,0.65,1.0,0.3,0.21,0.46,0.53,0.28
