,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv
adobe-source.csv,0.04,0.02,0.07,0.0,0.0,0.06,0.06,0.04,0.06,0.16,0.01,0.1,0.0,0.05,0.0
atlc.csv,0.59,0.44,0.56,0.73,0.0,0.94,0.83,0.37,0.55,0.79,0.84,0.69,0.0,0.58,0.47
ipfilter.csv,0.89,0.6,0.75,0.93,0.38,0.9,0.8,0.53,0.98,0.63,0.81,0.61,1.0,0.69,0.0
liferea.csv,0.2,0.33,0.35,0.0,0.0,0.34,0.4,0.28,0.06,0.29,0.48,0.38,0.0,0.32,0.47
miranda-icq.csv,0.09,0.38,0.17,0.2,0.1,0.34,0.17,0.61,0.11,0.26,0.62,0.01,0.0,0.25,0.42
opensim4opencog.csv,0.23,0.04,0.17,0.11,0.17,0.22,0.23,0.0,0.02,0.24,0.25,0.33,0.0,0.05,0.11
pclasses.csv,0.0,0.29,0.19,0.0,0.0,0.0,0.06,0.17,0.0,0.08,0.0,0.0,0.0,0.13,0.37
pfaedit.csv,0.04,0.23,0.27,0.5,0.1,0.32,0.06,0.64,0.02,0.29,0.32,0.27,0.0,0.3,0.32
psrchive.csv,0.14,0.0,0.0,0.0,0.31,0.26,0.09,0.07,0.32,0.11,0.07,0.12,0.0,0.08,0.11
theresa.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
thrust.csv,0.55,0.44,0.6,0.55,0.45,0.84,0.86,0.53,0.02,0.45,0.67,0.54,0.0,0.66,0.58
tktoolkit.csv,0.57,0.48,0.52,0.07,0.0,0.6,0.77,0.27,0.85,0.5,0.0,0.29,0.0,0.5,0.26
tzod.csv,0.14,0.0,0.21,0.27,0.17,0.18,0.4,0.46,0.09,0.45,0.48,0.27,1.0,0.16,0.16
yaprm.csv,0.57,0.5,0.49,0.16,0.0,0.38,0.29,0.2,0.68,0.0,0.17,0.17,1.0,0.4,0.11
