,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv
adobe-source.csv,0.0,0.19,0.27,0.14,0.0,0.0,0.56,0.29,0.0,0.38,0.08,0.35,0.31,0.86,0.33
atlc.csv,0.31,0.52,0.33,0.39,0.99,0.11,0.77,0.3,0.46,0.56,0.23,0.42,0.74,0.33,0.72
ipfilter.csv,0.28,0.38,0.29,0.39,0.4,0.08,0.76,0.29,0.42,0.46,0.23,0.43,0.85,0.33,0.99
liferea.csv,0.31,0.54,0.37,1.0,0.33,0.26,0.76,0.31,0.1,0.57,0.19,0.28,0.56,0.4,0.47
miranda-icq.csv,0.12,0.33,0.36,0.53,0.37,0.1,0.52,0.19,0.17,0.29,0.18,0.96,0.6,0.3,0.58
opensim4opencog.csv,0.08,0.29,0.26,0.29,0.33,0.13,0.62,0.98,0.0,0.33,0.21,0.35,0.49,0.0,0.15
pclasses.csv,1.0,0.45,0.13,0.0,0.0,0.0,0.07,0.08,0.0,0.05,0.0,0.04,0.03,0.04,0.07
pfaedit.csv,0.0,0.54,0.38,0.37,0.13,0.19,0.97,0.12,0.11,0.45,0.27,0.23,0.28,0.37,0.42
psrchive.csv,0.27,0.07,0.96,0.0,0.08,0.0,0.25,0.21,0.27,0.26,0.16,0.23,0.13,0.22,0.22
theresa.csv,0.0,0.07,0.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
thrust.csv,0.09,0.15,0.31,0.36,0.58,0.12,0.74,0.23,0.91,0.41,0.22,0.34,0.62,0.33,0.87
tktoolkit.csv,0.24,0.48,0.37,0.12,0.09,0.11,0.68,0.11,0.46,0.47,0.88,0.26,0.71,0.29,0.45
tzod.csv,0.27,0.98,0.33,0.48,0.33,0.29,0.74,0.23,0.0,0.54,0.22,0.38,0.62,0.18,0.31
yaprm.csv,0.24,0.33,0.33,0.18,0.26,0.24,0.22,0.22,0.37,1.0,0.25,0.25,0.63,0.32,0.43
