,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.42,0.39,0.3,0.5,0.45,0.14,0.92,0.21,0.19,0.64,0.39
gstreamer.csv,0.51,0.44,0.29,0.51,0.49,0.15,0.96,0.21,0.24,0.78,0.38
ktc.csv,0.7,0.53,0.38,0.71,0.67,0.27,0.94,0.26,0.22,0.81,0.43
mbse.csv,0.43,0.55,0.47,0.52,0.48,0.26,0.95,0.19,0.25,0.74,0.46
nebuladevice.csv,0.48,0.38,0.0,0.57,0.38,0.07,0.88,0.12,0.39,0.9,0.42
neoengine.csv,0.6,0.55,0.25,0.57,0.53,0.16,0.93,0.15,0.21,0.57,0.35
openmalaria.csv,0.44,0.51,0.37,0.74,0.56,0.18,0.95,0.27,0.19,0.72,0.4
rtrt-on-gpu.csv,0.44,0.38,0.25,0.53,0.55,0.58,0.78,0.15,0.19,0.57,0.47
salasaga.csv,0.48,0.51,0.31,0.72,0.55,0.28,0.66,0.31,0.21,0.62,0.34
skia.csv,0.59,0.54,0.35,0.77,0.65,0.2,0.97,0.34,0.24,0.69,0.52
xemeiah.csv,0.59,0.43,0.28,0.89,0.7,0.24,0.77,0.25,0.18,0.62,0.36
