,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,0.24,0.65,0.23,0.98,0.69,0.6,0.1,0.11,0.43,0.52,0.36,0.26,0.1,1.0
boost-sandbox.csv,0.34,0.78,0.88,0.43,0.89,1.0,0.16,0.2,0.51,0.57,0.44,0.39,0.13,1.0
customwars.csv,0.35,0.48,0.41,0.52,0.65,0.56,1.0,1.0,0.55,0.5,0.58,0.83,0.5,1.0
dvd-create.csv,0.32,0.71,0.28,0.55,1.0,0.72,0.2,0.16,0.53,0.62,0.45,0.26,0.09,0.99
frogatto.csv,0.31,0.69,0.26,0.55,0.83,0.8,0.29,0.2,0.54,1.0,0.46,0.48,0.15,0.98
glelite.csv,0.29,0.64,0.25,0.53,0.8,0.74,0.23,0.15,0.47,0.52,0.36,0.29,0.08,1.0
go.csv,0.31,0.98,0.32,0.54,0.88,0.78,0.47,0.16,0.59,0.74,0.41,0.23,0.1,0.97
irplus.csv,0.38,0.73,0.58,0.65,0.88,0.69,1.0,0.24,0.46,0.5,1.0,0.55,0.25,1.0
lsb.csv,0.34,0.74,1.0,0.54,0.88,0.74,0.0,0.16,0.51,0.6,0.33,0.57,0.11,1.0
moving-pictures.csv,0.38,0.78,0.33,0.5,0.86,0.7,0.23,0.14,1.0,0.65,0.41,0.3,0.15,0.97
mpgravity.csv,0.31,0.69,0.23,0.56,0.78,0.7,0.85,0.22,0.58,0.33,0.34,0.32,0.17,1.0
plearn.csv,1.0,0.4,0.24,0.56,0.65,0.74,0.19,0.11,0.45,0.48,0.43,0.39,0.11,1.0
rebecca-aiml.csv,0.44,0.61,0.26,0.54,0.77,0.72,0.0,0.23,0.56,0.69,0.53,1.0,0.11,1.0
wxcode.csv,0.75,0.0,1.0,0.64,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.5,0.88,1.0
