,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.71,0.98,0.74,0.63,0.7,0.79,0.67,0.62,0.76,0.87,0.0,0.61,0.49,0.47
awemud.csv,0.03,0.69,0.87,0.59,0.74,0.58,0.53,0.67,0.65,0.77,0.63,0.64,0.77,0.36
buddata-ebxml-registry.csv,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.98,1.0,1.0,0.99,0.0,1.0
cornerstone.csv,0.53,0.96,0.9,0.64,0.49,0.58,0.58,0.74,0.08,0.55,0.73,0.64,0.7,0.56
firebreath.csv,0.61,0.96,0.96,0.79,0.76,0.69,0.13,0.57,0.87,0.9,0.72,0.7,0.74,0.77
lsb.csv,0.9,0.24,0.61,0.83,0.84,0.71,0.81,0.47,0.73,0.77,0.65,0.87,0.76,0.59
maya-work-in-progress.csv,0.71,0.89,0.4,0.6,0.65,0.56,0.6,0.06,0.71,0.78,0.5,0.73,0.4,0.71
mia.csv,0.95,1.02,1.0,0.82,0.9,0.75,1.0,0.84,0.75,0.0,0.87,0.7,0.84,0.85
open-beos.csv,0.49,0.49,0.75,0.59,0.56,0.03,0.74,0.69,0.6,0.44,0.73,0.5,0.73,0.36
qgis.csv,0.58,0.84,0.6,0.05,0.64,0.62,0.63,0.66,0.69,0.6,0.79,0.52,0.72,0.43
rocrail.csv,0.71,0.96,0.87,0.76,0.83,0.81,0.82,0.94,0.79,0.89,0.84,0.79,0.9,0.05
rtb-team.csv,0.62,0.31,0.07,0.55,0.59,0.57,0.67,0.61,0.62,0.65,0.63,0.6,0.8,0.41
tradelink.csv,0.64,0.73,1.0,0.61,0.74,0.78,0.91,0.87,0.93,0.95,0.88,0.0,0.97,0.78
upp-mirror.csv,0.72,0.7,0.88,0.74,0.02,0.66,0.83,0.79,0.79,0.45,0.82,0.76,0.91,0.62
