,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.5,0.83,0.88,0.51,0.66,0.73,0.56,0.6,0.64,0.54,0.5,0.6,0.44,0.36
awemud.csv,0.43,0.8,0.75,0.47,0.56,0.6,0.56,0.69,0.4,0.64,0.57,0.49,0.58,0.46
buddata-ebxml-registry.csv,0.41,0.55,0.38,0.4,0.38,0.4,0.41,0.46,0.32,0.4,0.41,0.33,0.34,0.42
cornerstone.csv,0.46,0.5,0.91,0.6,0.34,0.56,0.5,0.72,0.46,0.47,0.48,0.47,0.55,0.55
firebreath.csv,0.52,0.57,0.89,0.49,0.43,0.72,0.63,0.72,0.37,0.97,0.63,0.48,0.59,0.48
lsb.csv,0.39,0.56,0.4,0.4,0.3,0.36,0.44,0.41,0.36,0.35,0.39,0.37,0.35,0.35
maya-work-in-progress.csv,0.38,0.71,0.44,0.37,0.39,0.39,0.36,0.53,0.31,0.35,0.42,0.35,0.32,0.37
mia.csv,0.8,0.58,0.67,0.94,0.92,0.98,0.0,0.8,0.83,0.94,0.88,0.94,0.83,0.95
open-beos.csv,0.41,0.58,0.7,0.56,0.41,0.57,0.61,0.77,0.43,0.52,0.54,0.73,0.59,0.43
qgis.csv,0.46,0.9,0.5,0.56,0.47,0.48,0.51,0.85,0.37,0.51,0.52,0.6,0.61,0.41
rocrail.csv,0.61,0.67,0.5,0.73,0.93,0.97,0.94,0.5,0.82,0.94,0.88,0.88,0.86,0.67
rtb-team.csv,0.4,0.49,0.64,0.53,0.37,0.55,0.54,0.58,0.4,0.42,0.52,0.61,0.59,0.34
tradelink.csv,0.69,0.78,0.67,0.74,0.95,0.98,0.96,0.93,0.9,0.92,0.9,0.95,0.8,0.92
upp-mirror.csv,0.67,0.98,0.88,0.97,0.46,0.73,0.84,0.88,0.88,0.62,0.64,0.8,0.83,0.79
