,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.4,0.02,0.27,0.51,0.34,0.26,0.45,0.47,0.33,0.28,1.0,0.53,0.51,0.73
awemud.csv,1.0,0.4,0.13,0.61,0.34,0.49,0.6,0.56,0.65,0.28,0.47,0.53,0.27,0.77
buddata-ebxml-registry.csv,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cornerstone.csv,0.54,0.04,0.13,0.38,0.67,0.46,0.48,0.28,0.92,0.61,0.39,0.53,0.3,0.5
firebreath.csv,0.65,0.98,0.07,0.69,0.81,0.4,0.87,0.53,0.84,0.11,0.47,0.63,0.45,0.91
lsb.csv,0.99,0.76,0.87,0.93,0.86,0.76,0.8,0.81,0.82,0.78,0.84,0.84,0.9,1.0
maya-work-in-progress.csv,0.86,0.31,0.67,0.71,0.78,0.69,0.62,0.94,0.9,0.72,0.66,0.84,0.69,0.95
mia.csv,0.05,0.82,0.0,0.26,0.11,0.3,0.0,0.16,0.29,1.0,0.13,0.32,0.33,0.18
open-beos.csv,0.55,0.53,0.27,0.45,0.78,0.97,0.3,0.31,0.55,0.67,0.34,0.53,0.31,0.73
qgis.csv,0.58,0.2,0.53,0.95,0.56,0.56,0.45,0.34,0.65,0.78,0.29,0.58,0.33,0.77
rocrail.csv,0.29,0.04,0.13,0.24,0.17,0.19,0.18,0.06,0.22,0.11,0.16,0.21,0.1,0.95
rtb-team.csv,0.5,0.71,0.93,0.49,0.56,0.53,0.42,0.41,0.61,0.61,0.39,0.47,0.37,0.86
tradelink.csv,0.36,0.42,0.0,0.4,0.27,0.24,0.12,0.16,0.08,0.06,0.13,1.0,0.06,0.23
upp-mirror.csv,0.35,0.33,0.13,0.26,0.98,0.35,0.2,0.28,0.22,0.67,0.32,0.26,0.09,0.41
