,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,47.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,14.0,3.0,270.0,0.0,0.0,1.0
encog-cs.csv,51.0,0.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,320.0,0.0,2.0,1.0
extprosys.csv,69.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,16.0,6.0,310.0,0.0,2.0,1.0
intact.csv,104.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,5.0,93.0,5.0,1.0,0.0
japano.csv,79.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.0,6.0,322.0,0.0,2.0,1.0
lockss.csv,104.0,1.0,0.0,0.0,104.0,1.0,1.0,0.0,0.0,0.0,223.0,1.0,0.0,0.0
officefloor.csv,104.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,2.0,0.0,2.0,1.0
opennms.csv,27.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,51.0,0.0,2.0,49.0
primefaces.csv,45.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,20.0,5.0,298.0,0.0,0.0,0.0
rohxel.csv,55.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,1.0,2.0,50.0,6.0,1.0,1.0
roolo.csv,2.0,0.0,186.0,0.0,0.0,4.0,49.0,0.0,183.0,3.0,36.0,0.0,66.0,1.0
sevenupdate.csv,74.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,15.0,4.0,323.0,0.0,2.0,1.0
web-cat.csv,104.0,0.0,3.0,1.0,7.0,1.0,0.0,0.0,1.0,6.0,67.0,0.0,2.0,0.0
