,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,0.67,1.01,0.72,0.0,0.72,0.53,0.69,0.97,0.98,0.94,0.93,0.53,0.6,0.79
encog-cs.csv,0.62,0.86,0.81,0.94,0.75,0.85,0.83,0.79,0.02,0.62,0.8,0.85,0.85,0.87
extprosys.csv,0.85,0.87,0.1,0.72,0.84,0.87,0.81,1.01,0.89,0.93,0.86,0.82,0.82,0.67
intact.csv,1.13,0.58,0.81,0.79,0.71,0.1,0.68,0.78,0.66,0.71,0.61,0.88,0.98,0.62
japano.csv,0.98,1.01,0.66,0.93,0.94,0.89,0.91,0.0,0.91,0.95,0.99,0.92,0.97,0.88
lockss.csv,1.0,0.89,0.91,0.97,1.0,0.84,0.95,0.9,0.83,0.0,0.78,0.9,0.93,0.95
officefloor.csv,1.03,0.71,0.77,0.87,0.75,0.74,0.93,0.79,0.99,1.01,0.32,0.75,0.69,0.81
opennms.csv,0.3,0.75,0.7,0.79,0.07,0.9,0.77,0.92,0.91,0.87,0.85,0.73,0.93,1.0
primefaces.csv,0.63,1.02,0.9,0.76,0.75,0.83,1.02,1.11,0.83,0.86,0.83,0.86,0.03,0.59
rohxel.csv,0.73,0.82,0.59,0.6,0.8,0.65,0.03,0.5,0.59,0.57,0.55,0.92,0.78,0.71
roolo.csv,0.02,0.94,1.0,0.99,0.97,0.9,1.0,0.91,1.01,0.92,0.92,0.0,1.0,0.95
sevenupdate.csv,0.93,0.0,1.0,1.0,0.81,0.82,0.86,1.0,0.83,0.7,0.98,0.82,0.89,0.9
web-cat.csv,1.04,0.75,0.83,0.82,0.79,0.53,0.67,0.58,0.85,0.86,0.89,0.83,0.66,0.05
