,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,0.37,0.48,0.48,0.37,0.4,0.45,0.46,0.4,0.35,0.39,0.45,0.5,0.53,0.38
encog-cs.csv,0.48,0.46,0.95,0.4,0.49,0.47,0.42,0.54,0.61,0.52,0.61,0.48,0.36,0.36
extprosys.csv,0.36,0.48,0.76,0.41,0.4,0.39,0.55,0.55,0.41,0.42,0.53,0.48,0.61,0.45
intact.csv,0.5,0.39,0.95,0.56,0.57,0.78,0.48,0.67,0.62,0.54,0.61,0.64,0.89,0.67
japano.csv,0.3,0.43,0.47,0.37,0.4,0.36,0.36,0.49,0.37,0.41,0.45,0.42,0.36,0.34
lockss.csv,0.8,0.86,0.88,0.67,0.75,0.9,0.67,0.92,0.93,0.86,0.97,0.67,0.67,0.0
officefloor.csv,0.96,0.94,0.73,0.41,0.69,0.55,0.43,0.56,0.8,0.97,0.97,0.56,0.67,0.38
opennms.csv,0.81,0.93,0.87,0.89,0.78,0.88,0.6,0.9,0.93,0.92,0.99,0.92,0.83,0.0
primefaces.csv,0.42,0.55,0.49,0.42,0.5,0.39,0.38,0.49,0.6,0.93,0.64,0.48,0.44,0.37
rohxel.csv,0.34,0.47,0.53,0.36,0.55,0.44,0.42,0.46,0.46,0.45,0.47,0.41,0.34,0.53
roolo.csv,0.67,0.67,0.0,0.0,0.89,0.89,0.0,0.91,0.94,0.92,0.98,0.8,0.0,0.67
sevenupdate.csv,0.31,0.47,0.47,0.35,0.4,0.39,0.45,0.47,0.4,0.54,0.46,0.48,0.34,0.34
web-cat.csv,0.73,0.61,0.82,0.52,0.62,0.63,0.64,0.78,0.95,0.78,1.0,0.73,0.6,0.61
