,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,1.0,0.86,0.79,1.0,0.86,0.7,0.49,0.6,0.95,0.95,1.0,0.8,0.6,0.84
encog-cs.csv,1.0,0.45,0.23,0.87,0.68,0.57,0.87,0.87,0.98,0.59,0.66,0.85,0.95,0.95
extprosys.csv,1.0,0.76,0.91,0.88,0.89,0.83,0.64,0.85,0.8,0.86,0.71,0.9,0.48,0.74
intact.csv,0.0,0.45,0.19,0.53,0.43,0.9,0.59,0.25,0.41,0.64,0.47,0.25,0.05,0.42
japano.csv,1.0,0.84,0.87,0.95,0.71,0.87,0.95,1.0,0.86,0.95,1.0,0.9,0.88,0.89
lockss.csv,0.0,0.12,0.09,0.03,0.0,0.17,0.05,0.1,0.17,1.0,0.26,0.1,0.08,0.05
officefloor.csv,0.0,0.31,0.57,0.85,0.43,0.53,0.82,0.84,0.02,0.05,0.68,0.75,0.5,0.89
opennms.csv,1.0,0.27,0.4,0.24,0.93,0.1,0.38,0.08,0.09,0.14,0.16,0.3,0.08,0.0
primefaces.csv,1.0,0.78,0.96,0.73,0.54,0.8,0.79,0.52,0.36,0.23,0.5,0.4,0.98,0.89
rohxel.csv,1.0,0.53,0.51,0.67,0.32,0.57,0.97,0.62,0.56,0.59,0.53,0.4,0.75,0.37
roolo.csv,1.0,0.06,0.0,0.01,0.04,0.1,0.0,0.09,0.0,0.09,0.08,1.0,0.0,0.05
sevenupdate.csv,1.0,1.0,1.0,1.0,0.71,0.93,0.74,1.0,0.79,0.59,1.0,0.75,0.92,1.0
web-cat.csv,0.0,0.33,0.19,0.59,0.39,0.6,0.51,0.52,0.15,0.27,0.13,0.35,0.48,0.95
