,brlcad.csv,jmri.csv,critterding.csv,popeye-chess.csv,alpine.csv,yarp.csv,nabu-library.csv,biodwh.csv
alpine.csv,0.45,0.47,0.44,0.56,0.76,0.46,0.57,0.39
biodwh.csv,0.62,0.79,0.71,0.5,0.66,0.89,0.91,0.61
brlcad.csv,0.62,0.64,0.65,0.48,0.94,0.65,0.6,0.83
critterding.csv,0.46,0.43,0.59,0.59,0.44,0.52,0.78,0.36
jmri.csv,0.99,0.55,0.67,0.58,0.61,0.49,0.94,0.38
nabu-library.csv,0.64,0.75,0.95,0.83,0.4,0.0,0.54,0.9
popeye-chess.csv,0.63,0.52,0.45,0.44,0.44,0.6,0.69,0.68
yarp.csv,0.99,0.66,0.86,0.64,0.74,0.66,0.74,0.62
