,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.39,0.0,0.35,0.55,0.61,0.39,0.17,0.36,0.55,0.55,0.37,0.46,0.27,0.55
customwars.csv,0.43,0.13,0.15,0.29,0.39,0.52,0.12,0.28,0.0,0.39,0.24,0.46,0.41,0.5
firebreath.csv,0.27,0.4,0.58,0.21,0.7,0.64,0.02,0.3,0.64,0.7,0.71,0.46,0.75,0.95
gss.csv,0.45,0.43,0.54,0.49,0.34,0.36,0.28,0.31,0.55,0.5,0.41,0.69,0.36,0.0
irplus.csv,0.2,0.43,0.31,0.29,0.32,0.66,0.69,0.22,0.44,0.0,0.14,0.42,0.3,0.0
kwave.csv,0.34,0.2,0.4,0.36,0.48,0.0,0.21,0.34,0.39,0.23,0.2,0.31,0.11,0.25
liferea.csv,0.23,0.07,0.17,0.16,0.0,0.14,0.07,0.14,0.42,0.18,0.09,0.31,0.07,0.25
plearn.csv,0.01,0.53,0.67,0.25,0.41,0.62,0.62,0.22,0.26,0.57,0.72,0.62,0.8,0.65
psrchive.csv,0.01,0.07,0.0,0.0,0.16,0.02,0.03,0.01,0.12,0.0,0.01,0.08,0.02,0.15
qcad2.csv,0.24,0.17,0.25,0.47,0.77,0.34,0.23,0.01,0.33,0.36,0.26,0.38,0.32,0.35
tzod.csv,0.45,0.3,0.0,0.33,0.43,0.34,0.15,0.21,0.35,0.25,0.22,0.73,0.34,0.4
wxcode.csv,0.03,0.07,0.02,0.09,0.0,0.04,0.02,0.04,0.05,0.09,0.0,0.08,0.0,0.0
xinity.csv,0.49,0.27,0.27,0.31,0.8,0.32,0.25,0.53,0.32,0.2,0.66,0.04,0.3,0.65
xmoto.csv,0.5,0.53,0.5,0.32,0.57,0.45,0.27,0.25,0.59,0.61,0.49,0.46,0.0,0.35
