,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.52,0.44,0.53,0.48,0.3,0.52,0.61,0.48,0.41,0.39,0.62,0.45,0.54,0.43
customwars.csv,0.68,0.78,0.86,0.85,0.67,0.71,0.91,0.83,0.94,0.58,0.74,0.48,0.65,0.67
firebreath.csv,0.83,0.52,0.5,0.8,0.39,0.53,0.62,0.52,0.43,0.38,0.48,0.52,0.51,0.36
gss.csv,0.45,0.33,0.38,0.43,0.48,0.45,0.48,0.48,0.34,0.43,0.47,0.29,0.44,0.39
irplus.csv,0.59,0.43,0.5,0.43,0.41,0.52,0.5,0.85,0.44,0.62,0.92,0.43,0.71,0.88
kwave.csv,0.69,0.73,0.7,0.68,0.52,0.94,0.87,0.86,0.5,0.81,0.94,0.48,0.92,0.63
liferea.csv,0.83,0.83,0.54,0.92,0.77,0.9,0.93,0.67,0.47,0.53,0.88,0.5,0.56,0.56
plearn.csv,0.72,0.58,0.47,0.64,0.65,0.59,0.63,0.64,0.73,0.5,0.48,0.4,0.53,0.38
psrchive.csv,0.9,0.8,0.0,0.92,0.88,0.5,0.91,0.75,0.92,0.0,0.75,0.89,0.83,0.83
qcad2.csv,0.84,0.64,0.9,0.72,0.33,0.79,0.71,0.62,0.5,0.67,0.95,0.55,0.52,0.59
tzod.csv,0.51,0.42,0.58,0.55,0.42,0.52,0.66,0.58,0.49,0.65,0.64,0.3,0.55,0.5
wxcode.csv,0.94,0.85,0.5,0.83,0.0,0.5,0.83,0.91,0.83,0.83,0.86,0.83,0.83,0.8
xinity.csv,0.56,0.95,0.61,0.73,0.39,0.52,0.64,0.63,0.71,0.81,0.49,0.4,0.89,0.48
xmoto.csv,0.54,0.46,0.51,0.48,0.42,0.6,0.57,0.59,0.4,0.41,0.5,0.39,0.54,0.4
