,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.58,1.0,0.56,0.79,0.77,0.44,0.5,0.56,0.71,0.68,0.14,0.41,0.44,0.63
customwars.csv,0.46,0.36,0.26,0.29,0.54,0.31,0.18,0.31,0.94,0.36,0.71,0.51,0.53,0.27
firebreath.csv,0.22,0.65,0.59,0.29,0.77,0.69,0.93,0.52,0.88,0.84,0.86,0.46,0.83,0.83
gss.csv,0.61,0.69,0.59,0.64,0.62,0.56,0.45,0.65,0.71,0.6,0.71,0.66,0.64,0.93
irplus.csv,0.37,0.44,0.41,0.43,0.62,0.31,0.65,0.25,0.76,0.96,0.14,0.46,0.31,0.27
kwave.csv,0.36,0.31,0.41,0.5,0.46,1.0,0.3,0.33,0.41,0.24,0.14,0.46,0.19,0.47
liferea.csv,0.24,0.27,0.59,0.07,1.0,0.12,0.12,0.27,0.53,0.44,0.14,0.39,0.42,0.37
plearn.csv,0.86,0.47,0.63,0.43,0.38,0.69,0.45,0.44,0.29,0.52,1.0,0.63,0.69,0.87
psrchive.csv,0.15,0.04,0.0,0.86,0.08,0.06,0.13,0.06,0.06,0.04,0.43,0.17,0.14,0.1
qcad2.csv,0.36,0.36,0.3,0.29,0.85,0.31,0.33,0.96,0.53,0.44,0.29,0.46,0.53,0.5
tzod.csv,0.53,0.59,0.96,0.57,0.54,0.38,0.3,0.52,0.47,0.36,0.71,0.68,0.5,0.4
wxcode.csv,0.22,0.23,0.04,0.36,0.0,0.0,0.07,0.15,0.06,0.08,1.0,0.1,0.17,0.17
xinity.csv,0.58,0.18,0.56,0.21,0.69,0.31,0.38,0.52,0.29,0.28,0.43,1.0,0.17,0.53
xmoto.csv,0.61,0.55,0.41,0.5,0.62,0.62,0.45,0.46,0.71,0.76,0.71,0.63,0.97,0.77
