,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.69,0.56,0.62,0.97,0.64,0.5,0.51,0.47,0.48,0.52,0.47,0.9
codesmith.csv,0.39,0.52,0.45,0.49,0.5,0.61,0.42,0.45,0.42,0.65,0.38,0.44
icescrum.csv,0.57,0.53,0.48,0.61,0.46,0.55,0.45,0.4,0.39,0.6,0.58,0.83
ingex.csv,0.64,0.95,0.92,0.72,0.65,0.75,0.83,0.59,0.74,0.67,0.92,0.57
jrefactory.csv,0.68,0.77,0.57,0.8,0.62,0.38,0.71,0.95,0.69,0.83,0.48,0.79
jsecurity.csv,0.97,0.64,0.65,0.83,0.61,0.54,0.73,0.43,0.65,0.64,0.4,0.57
libopenmetaverse.csv,0.39,0.51,0.46,0.53,0.55,0.54,0.41,0.36,0.45,0.53,0.5,0.56
lite.csv,0.96,0.71,0.56,0.95,0.92,0.6,0.72,0.86,0.67,0.0,0.4,0.81
mobicents.csv,0.67,0.43,0.44,0.71,0.56,0.54,0.52,0.41,0.57,0.62,0.6,0.65
opendvr.csv,0.49,0.47,0.46,0.65,0.58,0.35,0.48,0.48,0.43,0.85,0.36,0.45
openefm.csv,0.71,0.66,0.44,0.55,0.49,0.84,0.55,0.54,0.4,0.8,0.75,0.93
sidekar.csv,0.4,0.59,0.39,0.42,0.49,0.45,0.41,0.53,0.36,0.89,0.32,0.82
