,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.97,0.49,0.37,0.25,0.36,0.48,0.5,0.52,0.65,0.4,0.66,0.19
codesmith.csv,0.56,0.43,0.49,0.63,0.63,0.48,0.6,0.64,0.77,0.56,0.56,1.0
icescrum.csv,0.72,0.46,0.42,0.49,0.51,0.37,0.57,0.63,0.73,0.21,1.0,0.1
ingex.csv,0.3,0.25,0.19,0.37,0.52,0.44,0.34,0.94,0.36,0.3,0.25,0.5
jrefactory.csv,0.43,0.34,0.93,0.31,0.37,0.56,0.39,0.2,0.23,0.34,0.45,0.48
jsecurity.csv,0.3,0.42,0.35,0.92,0.32,0.46,0.37,0.63,0.31,0.4,0.5,0.6
libopenmetaverse.csv,0.54,0.55,0.62,0.41,0.47,0.98,0.52,0.47,0.52,0.27,0.54,0.6
lite.csv,0.24,0.44,0.41,0.18,0.2,0.4,0.36,0.17,1.0,0.0,0.53,0.1
mobicents.csv,0.54,0.62,0.51,0.42,0.48,0.46,0.99,0.65,0.23,0.46,0.4,0.23
opendvr.csv,0.59,0.59,0.63,0.56,0.51,0.24,0.61,0.6,0.64,0.93,0.61,0.48
openefm.csv,0.4,0.95,0.53,0.51,0.55,0.35,0.5,0.56,0.54,0.27,0.47,0.17
sidekar.csv,0.62,0.34,0.48,0.66,0.99,0.55,0.63,0.56,0.67,0.4,0.76,0.2
