,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.98,0.45,0.42,0.23,0.47,0.49,0.53,0.45,0.48,0.37,0.63,0.27
codesmith.csv,0.39,0.34,0.54,0.37,0.73,0.49,0.63,0.55,0.55,0.43,0.5,1.0
icescrum.csv,0.65,0.44,0.48,0.41,0.58,0.43,0.6,0.56,0.52,0.22,1.0,0.14
ingex.csv,0.21,0.25,0.21,0.25,0.58,0.5,0.36,0.93,0.26,0.23,0.26,0.57
jrefactory.csv,0.35,0.32,0.96,0.18,0.43,0.66,0.45,0.2,0.19,0.24,0.4,0.55
jsecurity.csv,0.32,0.36,0.42,0.95,0.41,0.48,0.44,0.53,0.25,0.34,0.46,0.67
libopenmetaverse.csv,0.41,0.45,0.72,0.27,0.53,0.99,0.62,0.55,0.36,0.27,0.45,0.66
lite.csv,0.28,0.46,0.49,0.2,0.29,0.46,0.44,0.22,1.0,0.0,0.45,0.12
mobicents.csv,0.47,0.52,0.57,0.34,0.54,0.47,0.99,0.55,0.16,0.34,0.36,0.3
opendvr.csv,0.41,0.48,0.68,0.33,0.56,0.63,0.61,0.52,0.47,0.95,0.59,0.67
openefm.csv,0.35,0.95,0.57,0.3,0.61,0.4,0.54,0.57,0.45,0.37,0.52,0.23
sidekar.csv,0.44,0.33,0.56,0.4,0.99,0.55,0.63,0.49,0.47,0.39,0.64,0.27
