,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.01,0.28,0.32,0.14,0.05,0.57,0.27,0.46,0.41,0.25,0.22,0.0
codesmith.csv,0.69,0.69,0.66,0.42,0.66,0.46,0.66,0.64,0.54,0.42,0.72,0.0
icescrum.csv,0.17,0.24,0.34,0.16,0.24,0.23,0.28,0.34,0.46,0.21,0.0,0.03
ingex.csv,0.48,0.22,0.42,0.32,0.58,0.17,0.36,0.04,0.44,0.45,0.25,0.38
jrefactory.csv,0.31,0.3,0.0,0.43,0.34,0.77,0.23,0.3,0.32,0.55,0.41,0.29
jsecurity.csv,0.12,0.39,0.26,0.0,0.13,0.31,0.2,0.54,0.32,0.32,0.34,0.47
libopenmetaverse.csv,0.76,0.43,0.71,0.85,0.58,0.0,0.78,0.84,0.73,0.19,0.59,0.32
lite.csv,0.09,0.16,0.21,0.09,0.03,0.2,0.11,0.06,0.0,0.0,0.47,0.32
mobicents.csv,0.24,0.36,0.66,0.2,0.29,0.57,0.0,0.48,0.49,0.51,0.41,0.29
opendvr.csv,0.56,0.66,0.63,0.42,0.53,0.94,0.57,0.68,0.44,0.0,0.75,0.79
openefm.csv,0.26,0.01,0.63,0.78,0.32,0.23,0.3,0.18,0.8,0.0,0.12,0.15
sidekar.csv,0.49,0.25,0.74,0.38,0.03,0.54,0.47,0.4,0.59,0.21,0.53,0.18
