,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.98,0.44,0.59,0.26,0.91,0.47,0.64,0.39,0.37,0.38,0.63,1.0
codesmith.csv,0.27,0.26,0.53,0.26,0.67,0.52,0.54,0.42,0.39,0.35,0.38,1.0
icescrum.csv,0.61,0.47,0.61,0.39,0.77,0.6,0.67,0.51,0.39,0.27,1.0,0.83
ingex.csv,0.17,0.32,0.33,0.19,0.61,0.7,0.47,0.93,0.22,0.2,0.33,0.7
jrefactory.csv,0.32,0.33,1.0,0.13,0.62,0.53,0.62,0.25,0.19,0.19,0.38,0.74
jsecurity.csv,0.44,0.33,0.62,1.0,0.78,0.58,0.64,0.43,0.24,0.32,0.45,0.71
libopenmetaverse.csv,0.28,0.38,0.62,0.17,0.58,1.0,0.52,0.39,0.25,0.33,0.37,0.77
lite.csv,0.46,0.54,0.7,0.29,0.92,0.65,0.74,0.57,1.0,0.0,0.4,0.31
mobicents.csv,0.44,0.45,0.55,0.31,0.72,0.46,1.0,0.45,0.13,0.27,0.35,0.57
opendvr.csv,0.3,0.35,0.62,0.24,0.62,0.49,0.56,0.39,0.36,1.0,0.43,0.63
openefm.csv,0.34,0.97,0.56,0.19,0.73,0.58,0.62,0.62,0.3,1.0,0.67,0.64
sidekar.csv,0.33,0.37,0.53,0.29,0.98,0.52,0.6,0.44,0.33,0.42,0.5,0.65
