,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,qgis.csv,rsyslog.csv,phonon-vlc-mplayer.csv,fm-classic.csv,rtrt-on-gpu.csv,unflobtactical.csv,multitude.csv,loki-lib.csv,cortex-vfx.csv,chaosrts.csv,biopax.csv,metacosm.csv,ng4j.csv
biopax.csv,99.0,490.0,98.5,1758.0,195.0,386.5,9634.0,194.0,870.0,98.5,196.0,189.0,1962.0,99.0,98.5,293.5,1001.5
chaosrts.csv,85.5,194.0,97.5,655.5,388.0,490.0,3316.5,1880.0,895.0,276.5,196.0,93.5,2279.0,99.0,95.5,91.5,727.0
cortex-vfx.csv,98.5,293.5,98.5,625.5,193.0,85.5,1377.5,194.0,139.5,95.5,97.5,342.0,478.5,99.0,95.5,190.0,176.0
fm-classic.csv,99.0,96.5,98.5,66.5,191.0,49.5,306.5,96.5,0.0,83.5,97.5,247.5,835.5,98.5,66.5,89.5,164.0
fritzing.csv,98.5,96.5,98.5,377.0,94.5,184.5,691.0,194.0,83.5,95.5,189.0,260.5,271.5,99.0,98.5,91.5,82.5
jlinalg.csv,99.0,195.0,98.5,1661.5,98.5,490.0,9910.5,194.0,870.0,98.5,196.0,386.0,1962.0,98.5,95.5,293.5,816.5
loki-lib.csv,92.5,292.5,98.5,1661.5,98.5,186.0,5985.0,194.0,632.5,98.5,97.5,268.5,590.0,99.0,95.5,293.5,701.0
metacosm.csv,99.0,96.5,98.5,176.5,98.5,159.0,2021.5,194.0,1487.5,95.5,196.0,84.5,390.5,99.0,98.5,190.0,351.0
multitude.csv,99.0,96.5,98.5,1577.0,98.5,285.0,8094.5,194.0,1552.5,98.5,196.0,189.0,1667.5,98.5,98.5,293.5,447.5
ng4j.csv,98.5,96.5,98.5,558.0,290.5,279.0,2012.0,194.0,623.5,95.5,97.5,93.5,1372.5,98.5,95.5,293.5,178.0
phonon-vlc-mplayer.csv,98.5,294.0,98.5,558.0,96.5,184.5,367.5,957.5,123.0,95.5,190.0,93.5,965.5,99.0,98.5,190.0,358.0
playerstage.csv,98.5,96.5,98.5,455.5,94.5,279.0,912.0,972.5,301.0,95.5,93.5,93.5,1470.0,98.5,95.5,293.5,264.5
qgis.csv,99.0,391.5,98.5,473.5,96.5,0.0,2107.0,194.0,498.0,95.5,97.5,617.5,387.0,98.5,98.5,195.0,268.5
rsyslog.csv,98.5,490.0,98.5,1562.5,195.0,85.5,4570.0,96.5,513.0,98.5,97.5,620.5,1757.0,99.0,95.5,89.5,549.0
rtrt-on-gpu.csv,70.5,391.5,275.5,1807.0,98.5,195.0,7115.5,1645.0,202.0,98.5,190.0,169.0,1667.5,96.5,98.5,293.5,908.0
superwaba.csv,92.5,195.0,98.5,803.5,98.5,184.5,5690.5,194.0,538.0,98.5,97.5,189.0,1864.5,99.0,95.5,196.0,727.0
unflobtactical.csv,98.5,490.0,98.5,929.0,96.5,85.5,889.5,1669.5,1189.5,98.5,97.5,93.5,962.0,99.0,98.5,195.0,537.0
