,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.0,0.75,0.0,0.56,0.38,0.5,0.56,0.4,0.13,0.1,0.11
azureus.csv,0.0,0.18,0.03,0.17,0.17,0.1,0.0,0.16,0.04,0.0,0.03
forester-atv.csv,0.0,0.0,0.0,0.04,0.1,0.02,0.05,0.0,0.04,0.1,0.06
gabel.csv,0.0,0.0,0.0,0.01,0.0,0.02,0.02,0.0,0.0,0.0,0.0
google-collections.csv,0.0,1.0,0.97,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0
javaprofiler.csv,0.0,0.4,0.45,0.4,0.61,0.4,0.57,0.6,0.59,0.2,0.06
mycila.csv,0.0,0.35,0.06,0.24,0.2,0.0,0.09,0.08,0.07,0.3,0.42
neodatis-odb.csv,1.0,0.42,0.33,0.0,0.25,0.07,0.26,0.12,0.28,0.7,0.28
pokenetonline.csv,0.5,0.82,0.97,0.8,0.63,0.74,0.7,0.0,0.72,0.5,0.58
rcp-company-uibindings.csv,0.5,1.0,0.97,0.97,0.98,0.98,0.99,1.0,0.78,0.0,0.83
servicestack.csv,1.0,0.8,0.33,0.69,0.42,0.38,0.5,0.4,0.0,0.4,0.33
