,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.42,0.36,0.52,0.39,0.4,0.58,0.45,0.37,0.77,0.47,0.72
azureus.csv,0.91,0.67,0.75,0.91,0.63,0.8,0.69,0.56,0.67,0.88,0.86
forester-atv.csv,0.5,0.54,0.5,0.89,0.9,0.0,0.92,0.67,0.8,0.94,0.88
gabel.csv,0.83,0.0,0.0,0.0,0.88,0.0,0.83,0.0,0.0,0.5,0.0
google-collections.csv,0.39,0.35,0.33,0.4,0.46,0.37,0.39,0.33,0.41,0.39,0.4
javaprofiler.csv,0.71,0.39,0.54,0.55,0.49,0.55,0.47,0.37,0.49,0.53,0.47
mycila.csv,0.88,0.62,0.67,0.96,0.94,0.89,0.94,0.67,0.83,0.97,0.6
neodatis-odb.csv,0.64,0.55,0.67,0.78,0.92,0.75,0.74,0.92,0.9,0.92,0.77
pokenetonline.csv,0.42,0.33,0.32,0.39,0.44,0.42,0.41,0.39,0.46,0.38,0.52
rcp-company-uibindings.csv,0.37,0.35,0.33,0.39,0.45,0.36,0.39,0.33,0.4,0.4,0.39
servicestack.csv,0.53,0.36,0.5,0.41,0.45,0.53,0.51,0.43,0.73,0.51,0.51
