,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.67,0.58,1.0,0.37,0.28,0.18,0.46,0.74,0.47,0.56,0.58
azureus.csv,0.24,0.6,0.18,0.34,0.22,0.13,0.99,0.53,0.1,0.28,0.29
forester-atv.csv,0.05,1.0,0.13,0.26,0.11,0.0,0.14,0.1,0.27,0.13,0.14
gabel.csv,0.14,0.0,0.0,0.0,1.0,0.0,0.06,0.0,0.0,0.02,0.0
google-collections.csv,1.0,0.57,0.64,0.51,0.15,0.3,0.41,0.83,0.42,0.98,0.81
javaprofiler.csv,0.42,0.53,0.4,0.27,0.2,0.31,0.43,0.74,0.37,0.55,0.99
mycila.csv,0.18,0.46,0.06,0.26,0.0,0.95,0.08,0.03,0.26,0.23,0.56
neodatis-odb.csv,0.55,0.49,0.49,0.99,0.06,0.14,0.32,0.25,0.42,0.47,0.57
pokenetonline.csv,0.89,0.54,0.58,0.44,0.17,0.29,0.47,0.97,0.46,0.84,0.62
rcp-company-uibindings.csv,0.97,0.57,0.64,0.51,0.15,0.3,0.41,0.83,0.46,1.0,0.8
servicestack.csv,0.79,0.53,0.64,0.45,0.19,0.21,0.39,0.72,0.94,0.76,0.57
