,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.17,0.76,0.13,0.45,0.47,0.36,0.02,0.27,0.14,0.11,0.37
gbif-providertoolkit.csv,0.39,0.14,0.24,0.33,0.72,0.26,0.17,0.58,0.0,0.38,0.43
geochat.csv,0.32,0.28,0.27,0.47,0.17,0.7,0.48,0.4,0.12,0.53,0.56
heekscad.csv,0.76,0.63,0.63,0.65,0.65,0.76,0.48,0.5,0.68,0.57,0.5
igarden.csv,0.63,0.51,0.5,0.68,0.59,0.74,0.67,0.58,0.69,0.56,0.4
jstock.csv,0.57,0.72,0.64,0.65,0.34,0.43,0.22,0.9,0.47,0.57,0.27
levent.csv,0.6,0.0,0.17,0.12,0.68,0.33,0.71,0.43,0.39,0.0,0.09
piccolo2d.csv,0.22,0.0,0.5,0.19,0.65,0.87,0.44,0.43,0.25,0.46,0.24
pnotepad.csv,0.66,0.7,0.62,0.13,0.32,0.52,0.65,0.65,0.9,0.59,0.54
trinitycore.csv,0.43,0.62,0.47,0.64,0.33,0.56,0.0,0.37,0.35,0.59,0.12
xcsoar.csv,0.67,0.29,0.72,0.61,0.67,0.64,0.51,0.69,0.29,0.48,0.52
