,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.91,0.44,0.93,0.55,0.82,0.94,0.5,0.93,0.88,0.97,0.67
gbif-providertoolkit.csv,0.61,0.76,0.97,0.97,0.69,0.64,0.92,0.56,0.63,0.71,0.53
geochat.csv,0.81,0.67,0.97,0.44,0.7,0.44,0.61,0.58,0.86,0.63,0.62
heekscad.csv,0.38,0.5,0.41,0.39,0.42,0.38,0.38,0.75,0.37,0.42,0.52
igarden.csv,0.46,0.62,0.57,0.51,0.52,0.46,0.54,0.62,0.5,0.5,0.6
jstock.csv,0.4,0.42,0.42,0.38,0.88,0.82,0.78,0.6,0.48,0.48,0.93
levent.csv,0.58,0.94,0.92,0.83,0.47,0.61,0.45,0.8,0.79,0.0,0.93
piccolo2d.csv,0.93,0.0,0.58,0.88,0.43,0.46,0.48,0.67,0.82,0.54,0.94
pnotepad.csv,0.4,0.54,0.36,0.31,0.34,0.36,0.42,0.33,0.4,0.45,0.39
trinitycore.csv,0.53,0.48,0.56,0.34,0.8,0.49,0.0,0.47,0.59,0.57,0.89
xcsoar.csv,0.37,0.71,0.37,0.39,0.34,0.39,0.45,0.48,0.58,0.51,0.48
