,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,1.0,0.18,0.69,0.25,0.0,0.13,0.33,0.27,0.0,0.18,0.12,0.14,0.12
e-bio-flow.csv,0.06,0.41,0.62,0.37,0.67,0.57,0.61,0.83,0.2,0.18,0.0,0.19,0.0
jas.csv,0.06,0.23,0.08,0.02,0.0,0.0,0.06,0.03,0.0,0.0,0.0,0.01,0.88
jbpm.csv,0.0,0.0,0.08,0.9,0.0,0.13,0.11,0.07,0.2,0.0,0.0,0.1,0.5
jgossipforum.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0
jmonkeyengine.csv,0.5,0.77,0.15,0.58,0.0,0.17,0.89,0.33,0.2,0.0,0.12,0.29,0.12
joustsim.csv,0.19,0.27,0.08,0.12,0.0,0.17,0.17,0.17,0.4,1.0,0.12,0.34,0.5
log4net.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ngl.csv,0.25,0.36,0.92,0.71,0.67,0.52,0.5,0.47,0.8,0.64,0.62,1.0,0.38
piccolo2d.csv,0.06,0.09,1.0,0.21,0.0,0.04,0.11,0.03,0.0,0.0,0.0,0.02,0.0
pustefix.csv,0.75,0.86,0.85,0.63,0.67,0.96,0.56,0.77,0.6,0.55,0.38,0.18,0.5
reaper3d.csv,0.19,0.73,0.15,0.29,0.0,0.04,0.06,0.13,0.0,0.18,0.88,0.0,0.0
sblim.csv,0.19,1.0,0.23,0.13,0.0,0.09,0.33,0.23,0.0,0.18,0.0,0.03,0.0
