,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.0,10.0,9.0,46.0,133.0,1.0,9.0,0.0,224.0,9.0,4.0,0.0,2.0
e-bio-flow.csv,4.0,10.0,25.0,9.0,23.0,1.0,0.0,0.0,8.0,5.0,107.0,0.0,124.0
jas.csv,2.0,3.0,2.0,1.0,133.0,84.0,0.0,1.0,224.0,70.0,107.0,0.0,0.0
jbpm.csv,78.0,105.0,6.0,0.0,133.0,0.0,0.0,1.0,18.0,70.0,107.0,0.0,2.0
jgossipforum.csv,78.0,105.0,94.0,431.0,133.0,84.0,67.0,81.0,0.0,70.0,107.0,0.0,124.0
jmonkeyengine.csv,7.0,0.0,5.0,1.0,133.0,2.0,0.0,2.0,27.0,70.0,7.0,0.0,1.0
joustsim.csv,3.0,0.0,2.0,0.0,133.0,2.0,2.0,1.0,19.0,0.0,3.0,0.0,1.0
log4net.csv,78.0,105.0,94.0,431.0,0.0,84.0,67.0,81.0,224.0,70.0,107.0,367.0,124.0
ngl.csv,5.0,6.0,8.0,20.0,21.0,4.0,0.0,1.0,30.0,4.0,4.0,0.0,3.0
piccolo2d.csv,3.0,1.0,0.0,3.0,133.0,0.0,2.0,1.0,224.0,70.0,107.0,0.0,124.0
pustefix.csv,5.0,0.0,20.0,1.0,51.0,0.0,0.0,1.0,96.0,6.0,37.0,0.0,41.0
reaper3d.csv,22.0,0.0,10.0,1.0,133.0,1.0,0.0,2.0,224.0,15.0,0.0,367.0,124.0
sblim.csv,6.0,0.0,1.0,8.0,133.0,1.0,1.0,0.0,224.0,0.0,107.0,0.0,124.0
