,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.94,0.94,0.55,0.8,0.86,0.77,0.6,0.92,0.98,0.73,0.8,0.99,0.93
e-bio-flow.csv,0.89,0.74,0.57,0.79,0.8,0.57,0.46,0.68,0.92,0.88,0.91,0.99,0.94
jas.csv,0.8,0.92,0.67,0.88,0.83,0.0,0.0,0.5,0.8,0.0,0.0,0.5,0.86
jbpm.csv,0.0,0.75,0.86,0.98,0.75,0.83,0.88,0.8,0.93,0.67,0.67,0.97,0.92
jgossipforum.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.75,0.0
jmonkeyengine.csv,0.46,0.62,0.88,0.79,0.97,0.92,0.81,0.7,0.97,0.94,0.96,0.7,0.88
joustsim.csv,0.72,0.86,0.75,0.97,0.88,0.91,0.89,0.92,0.96,0.82,0.83,0.64,0.86
log4net.csv,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ngl.csv,0.7,0.73,0.42,0.55,0.55,0.52,0.46,0.5,0.55,0.39,0.55,0.56,0.63
piccolo2d.csv,0.75,0.8,0.93,0.97,0.8,0.0,0.75,0.5,0.0,0.5,0.5,0.75,0.67
pustefix.csv,0.54,0.51,0.46,0.54,0.56,0.77,0.56,0.49,0.59,0.61,0.57,0.99,0.67
reaper3d.csv,0.74,0.65,0.94,0.97,0.96,0.5,0.5,0.89,0.93,0.95,0.86,0.0,0.89
sblim.csv,0.93,0.77,0.88,0.97,0.96,0.8,0.9,0.92,0.89,0.75,0.0,0.96,0.8
