,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,1.0,0.21,0.69,0.29,0.0,0.16,0.37,0.31,0.0,0.21,0.15,0.17,0.15
e-bio-flow.csv,0.07,0.44,0.61,0.41,0.67,0.58,0.63,0.86,0.24,0.21,0.0,0.22,0.0
jas.csv,0.07,0.27,0.1,0.02,0.0,0.0,0.07,0.04,0.0,0.0,0.0,0.01,0.9
jbpm.csv,0.0,0.0,0.1,0.92,0.0,0.16,0.13,0.09,0.24,0.0,0.0,0.12,0.55
jgossipforum.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0
jmonkeyengine.csv,0.44,0.79,0.18,0.6,0.0,0.2,0.91,0.37,0.24,0.0,0.14,0.33,0.14
joustsim.csv,0.22,0.32,0.1,0.15,0.0,0.2,0.2,0.2,0.45,1.0,0.15,0.39,0.55
log4net.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ngl.csv,0.28,0.4,0.79,0.71,0.63,0.55,0.53,0.49,0.77,0.64,0.62,1.0,0.42
piccolo2d.csv,0.07,0.11,1.0,0.25,0.0,0.05,0.13,0.04,0.0,0.0,0.0,0.02,0.0
pustefix.csv,0.58,0.58,0.69,0.5,0.48,0.97,0.56,0.68,0.56,0.59,0.41,0.21,0.5
reaper3d.csv,0.21,0.72,0.18,0.33,0.0,0.05,0.07,0.16,0.0,0.21,0.9,0.0,0.0
sblim.csv,0.22,1.0,0.27,0.16,0.0,0.11,0.38,0.27,0.0,0.22,0.0,0.04,0.0
