,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,1.0,0.21,0.39,0.16,0.0,0.17,0.32,0.38,0.0,0.18,0.15,0.19,0.09
e-bio-flow.csv,0.08,0.3,0.28,0.26,0.09,0.45,0.5,0.91,0.12,0.21,0.0,0.25,0.0
jas.csv,0.1,0.29,0.12,0.03,0.0,0.0,0.11,0.06,0.0,0.0,0.0,0.02,0.93
jbpm.csv,0.0,0.0,0.1,0.95,0.0,0.21,0.15,0.11,0.06,0.0,0.0,0.17,0.38
jgossipforum.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0
jmonkeyengine.csv,0.24,0.67,0.19,0.31,0.0,0.22,0.94,0.35,0.05,0.0,0.06,0.4,0.05
joustsim.csv,0.18,0.41,0.12,0.14,0.0,0.24,0.22,0.24,0.12,1.0,0.14,0.46,0.53
log4net.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ngl.csv,0.17,0.31,0.36,0.36,0.06,0.46,0.43,0.44,0.1,0.36,0.2,1.0,0.12
piccolo2d.csv,0.1,0.15,0.96,0.26,0.0,0.08,0.18,0.06,0.0,0.0,0.0,0.04,0.0
pustefix.csv,0.33,0.37,0.3,0.18,0.04,0.98,0.4,0.57,0.04,0.41,0.12,0.25,0.11
reaper3d.csv,0.11,0.49,0.13,0.18,0.0,0.08,0.1,0.21,0.0,0.12,0.93,0.0,0.0
sblim.csv,0.2,1.0,0.29,0.17,0.0,0.14,0.43,0.33,0.0,0.27,0.0,0.05,0.0
