,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv,customsagetv.csv
checker-framework.csv,0.69,0.82,0.09,0.63,0.4,0.93,0.69,0.61,0.12,0.52,0.57,0.17,0.73,0.66,0.52,0.43
customsagetv.csv,0.05,0.04,0.0,0.06,0.21,0.22,0.28,0.11,0.14,0.15,0.29,0.0,0.18,0.07,0.3,0.11
fluidium.csv,0.02,0.01,0.0,0.31,0.01,0.06,0.0,0.07,0.04,0.0,0.0,0.0,0.0,0.38,0.0,0.14
guineu.csv,0.24,0.59,0.0,0.29,0.35,0.49,0.28,0.79,0.32,0.4,0.14,0.5,0.36,0.79,0.45,0.09
inkscape.csv,0.64,0.66,1.0,1.0,0.12,0.11,0.31,0.71,0.89,0.58,0.43,1.0,0.89,1.0,0.94,0.84
mpqc.csv,0.48,0.33,0.09,0.12,0.5,0.25,0.38,0.64,0.64,0.49,0.71,0.42,0.64,0.83,0.3,0.66
nsis.csv,0.79,0.88,0.45,0.48,0.85,0.6,0.91,0.75,0.71,0.77,0.14,0.5,0.73,0.52,0.88,0.27
octave.csv,0.43,0.53,0.0,0.67,0.24,0.28,0.12,0.71,0.34,0.47,0.71,0.42,0.32,0.52,0.33,0.68
owfs.csv,0.91,0.92,0.64,0.33,0.74,0.77,0.94,0.89,0.61,0.95,0.71,0.83,0.7,0.86,0.91,0.91
owlib.csv,0.55,0.29,0.64,0.75,0.56,0.61,0.56,0.39,0.34,0.45,0.43,0.42,0.41,0.31,0.12,0.57
pamguard.csv,0.38,0.3,0.09,0.42,0.33,0.44,0.34,0.64,0.25,0.25,0.29,0.0,0.59,0.0,0.33,0.61
prelude.csv,0.93,0.99,0.09,0.88,0.94,0.82,0.75,0.93,0.7,0.82,1.0,0.5,0.95,0.52,0.94,0.75
robocode.csv,0.64,0.37,0.0,0.21,0.66,0.74,0.44,0.32,0.8,0.33,0.43,0.42,0.8,0.48,0.39,0.66
uwom-server.csv,0.19,0.34,0.0,0.06,0.34,0.49,0.28,0.61,0.77,0.38,0.29,0.42,0.18,0.45,0.48,0.32
zengine.csv,1.0,0.99,0.45,0.87,0.95,0.93,1.0,1.0,0.89,0.89,1.0,0.0,0.91,0.69,1.0,0.89
zildo.csv,0.41,0.71,0.09,0.73,0.26,0.42,0.44,0.11,0.29,0.34,0.43,0.17,0.23,0.28,0.67,0.25
