,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,galaxium.csv,runuomondains.csv,somap.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv
algebsql.csv,0.79,0.83,0.7,0.55,0.94,0.82,0.7,0.91,0.61,0.96,0.62,0.88,0.59,0.83,0.83,0.89
galaxium.csv,0.8,0.93,0.66,0.86,0.91,0.67,0.83,0.26,0.83,0.64,0.48,0.68,0.96,0.75,0.67,0.5
hydrate.csv,0.88,0.76,0.56,0.0,0.52,0.67,0.67,0.25,0.95,0.48,0.42,0.86,0.39,0.57,0.86,0.41
ivef-sdk.csv,0.43,0.49,0.56,0.47,0.48,0.61,0.48,0.34,0.5,0.62,0.8,0.43,0.47,0.73,0.48,0.86
jmri.csv,0.44,0.46,0.58,0.47,0.58,0.53,0.64,0.96,0.52,0.55,0.6,0.76,0.57,0.57,0.92,0.5
jython.csv,0.45,0.54,0.42,0.48,0.48,0.47,0.47,0.96,0.56,0.54,0.61,0.38,0.47,0.51,0.44,0.65
kdenlive.csv,0.44,0.42,0.46,0.43,0.5,0.59,0.77,0.25,0.54,0.42,0.42,0.5,0.41,0.48,0.69,0.42
ninject.csv,0.75,0.0,0.72,0.0,0.86,0.0,0.8,0.24,0.0,0.59,0.62,0.89,0.95,0.55,0.8,0.41
ondex.csv,0.6,0.62,0.98,0.62,0.9,0.8,0.79,0.95,0.87,0.9,0.73,0.91,0.96,0.92,0.86,0.9
opentibia.csv,0.4,0.43,0.42,0.46,0.42,0.56,0.43,0.26,0.48,0.36,0.45,0.33,0.39,0.4,0.41,0.36
runuomondains.csv,0.95,0.93,0.96,0.9,0.8,0.96,0.67,0.67,0.89,0.91,0.86,0.75,0.89,0.93,0.91,0.86
somap.csv,0.38,0.43,0.37,0.46,0.38,0.43,0.41,0.26,0.49,0.34,0.43,0.35,0.31,0.43,0.39,0.37
taverna.csv,0.92,0.88,0.97,0.75,0.79,0.0,0.0,0.89,0.9,0.93,0.75,0.86,0.95,0.9,0.86,0.75
tigermud.csv,0.49,0.51,0.46,0.46,0.41,0.47,0.51,0.29,0.53,0.4,0.5,0.36,0.32,0.56,0.43,0.45
unbvision.csv,0.56,0.51,0.55,0.64,0.53,0.75,0.71,0.97,0.75,0.47,0.47,0.56,0.43,0.5,0.88,0.41
x-ray-mule.csv,0.79,0.81,0.99,0.69,0.9,0.96,0.79,0.27,0.68,0.92,0.83,0.95,0.98,0.83,0.53,0.92
