,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,galaxium.csv,runuomondains.csv,somap.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv
algebsql.csv,4.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,3.0,2.0,7.0,0.0,14.0,1.0,59.0,0.0
galaxium.csv,1.0,1.0,5.0,5.0,1.0,96.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
hydrate.csv,0.0,0.0,1.0,49.0,0.0,12.0,1.0,0.0,3.0,6.0,28.0,0.0,24.0,2.0,4.0,0.0
ivef-sdk.csv,3.0,0.0,18.0,1.0,2.0,0.0,10.0,1.0,4.0,7.0,0.0,0.0,2.0,0.0,33.0,2.0
jmri.csv,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,12.0,4.0
jython.csv,6.0,0.0,18.0,1.0,2.0,1.0,9.0,1.0,5.0,6.0,7.0,0.0,2.0,0.0,33.0,3.0
kdenlive.csv,0.0,1.0,2.0,4.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,3.0
ninject.csv,1.0,94.0,0.0,49.0,2.0,96.0,0.0,0.0,114.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
ondex.csv,3.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,2.0,3.0,8.0,0.0,0.0,0.0,6.0,2.0
opentibia.csv,3.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,5.0,13.0,7.0,0.0,1.0,0.0,20.0,0.0
runuomondains.csv,3.0,0.0,17.0,1.0,0.0,0.0,67.0,0.0,7.0,4.0,0.0,0.0,1.0,0.0,10.0,0.0
somap.csv,5.0,0.0,8.0,1.0,0.0,1.0,10.0,1.0,4.0,3.0,7.0,0.0,1.0,0.0,30.0,3.0
taverna.csv,0.0,0.0,0.0,0.0,0.0,96.0,67.0,0.0,0.0,7.0,2.0,0.0,11.0,0.0,59.0,1.0
tigermud.csv,3.0,0.0,2.0,1.0,1.0,1.0,7.0,1.0,4.0,7.0,7.0,0.0,9.0,0.0,29.0,1.0
unbvision.csv,0.0,3.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,6.0,2.0
x-ray-mule.csv,6.0,2.0,17.0,0.0,2.0,0.0,2.0,0.0,3.0,6.0,2.0,0.0,9.0,0.0,42.0,1.0
