,kdenlive.csv,jmri.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,plplot.csv,wishmaster.csv,motu.csv,projectfactory.csv,amygdala.csv,dspace-gsoc.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.79,0.95,0.85,0.75,0.0,0.74,1.0,1.0,0.97,0.89,0.65,0.67,0.97,0.83,0.89,0.22
amygdala.csv,0.55,0.71,0.68,1.05,0.69,0.75,0.69,0.61,0.67,0.04,0.74,0.8,0.62,0.67,0.77,0.85
cme.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,0.0
dspace-gsoc.csv,0.75,0.65,0.68,0.79,0.73,0.68,0.66,0.75,0.55,0.8,0.0,0.88,0.75,0.63,0.74,0.62
hydrate.csv,0.64,0.7,0.91,0.98,0.98,0.76,0.69,0.6,0.81,0.99,0.9,0.36,0.71,0.89,0.05,0.75
ivef-sdk.csv,0.64,0.69,0.71,0.0,0.85,0.96,0.87,0.93,0.74,0.59,0.89,1.0,1.1,0.89,0.97,0.59
jmri.csv,0.64,0.03,0.78,1.05,0.84,0.54,0.68,0.53,0.83,0.53,0.57,0.64,0.81,0.79,0.75,0.43
kdenlive.csv,0.01,0.67,0.64,1.05,0.98,0.47,0.7,0.61,0.73,0.58,0.62,0.66,0.43,0.69,0.7,0.75
motu.csv,0.96,0.94,0.96,1.0,0.97,0.91,0.93,0.0,0.88,0.97,0.98,0.89,1.0,0.96,0.85,0.63
plplot.csv,0.69,0.75,0.9,1.04,0.94,0.14,0.81,0.52,0.82,0.93,0.76,0.46,0.9,0.74,0.59,0.46
projectfactory.csv,0.94,0.7,0.79,1.02,0.7,0.98,0.95,0.85,0.05,0.74,0.66,0.6,0.7,0.86,0.76,1.14
runuomondains.csv,0.97,0.98,0.97,1.0,1.0,0.9,0.93,0.85,0.95,0.97,0.92,0.12,0.96,0.95,0.85,1.0
somap.csv,1.0,0.93,0.81,1.0,1.0,1.0,1.0,0.98,0.95,1.0,1.0,1.0,0.01,0.64,1.0,0.98
taverna.csv,0.76,0.84,0.04,0.97,0.83,0.87,0.94,1.02,0.76,0.81,0.77,1.0,1.03,0.79,0.79,1.01
tigermud.csv,0.92,0.79,0.89,0.42,0.8,0.93,0.82,0.81,0.75,0.77,1.0,0.77,0.68,0.15,0.7,0.81
wishmaster.csv,0.87,0.87,0.9,0.91,0.94,0.76,0.14,1.01,0.82,0.95,0.89,0.88,0.85,0.94,0.95,0.62
