,kdenlive.csv,jmri.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,plplot.csv,wishmaster.csv,motu.csv,projectfactory.csv,amygdala.csv,dspace-gsoc.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.89,0.97,0.86,0.94,0.7,0.88,0.91,0.0,0.5,0.92,0.58,0.83,0.5,0.83,0.83,0.89
amygdala.csv,0.39,0.58,0.44,0.7,0.6,0.58,0.33,0.52,0.54,0.5,0.5,0.83,0.47,0.67,0.69,0.81
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
dspace-gsoc.csv,0.63,0.59,0.49,0.64,0.66,0.54,0.52,0.64,0.56,0.54,0.39,0.62,0.51,0.62,0.74,0.51
hydrate.csv,0.5,0.5,0.71,0.86,0.83,0.88,0.55,0.5,0.67,0.86,0.8,0.57,0.48,0.6,0.38,0.4
ivef-sdk.csv,0.45,0.66,0.56,0.61,0.67,0.57,0.43,0.83,0.65,0.53,0.8,0.5,0.58,0.93,0.0,0.58
jmri.csv,0.48,0.59,0.68,0.6,0.76,0.61,0.64,0.48,0.77,0.48,0.48,0.61,0.71,0.64,0.52,0.5
kdenlive.csv,0.44,0.44,0.42,0.46,0.47,0.41,0.33,0.39,0.41,0.44,0.35,0.43,0.41,0.43,0.45,0.36
motu.csv,0.83,0.96,0.75,0.0,0.5,0.75,0.75,0.77,0.89,0.5,0.75,0.91,0.0,0.83,0.86,0.67
plplot.csv,0.66,0.65,0.7,0.85,0.58,0.72,0.87,0.39,0.62,0.85,0.53,0.58,0.62,0.56,0.33,0.38
projectfactory.csv,0.48,0.57,0.53,0.48,0.53,0.53,0.4,0.59,0.62,0.65,0.62,0.63,0.67,0.51,0.57,0.68
runuomondains.csv,0.5,0.96,0.86,0.67,0.0,0.67,0.83,0.75,0.75,0.5,0.67,0.86,0.67,0.8,0.86,0.75
somap.csv,0.42,0.39,0.39,0.43,0.41,0.51,0.39,0.38,0.38,0.41,0.29,0.43,0.35,0.4,0.37,0.39
taverna.csv,0.77,0.89,0.7,0.5,0.94,0.83,0.91,0.71,0.53,0.85,0.83,0.77,0.67,0.91,0.74,0.86
tigermud.csv,0.47,0.39,0.39,0.78,0.43,0.54,0.43,0.47,0.61,0.41,0.3,0.42,0.32,0.54,0.39,0.38
wishmaster.csv,0.9,0.99,0.89,0.86,0.67,0.86,0.92,0.8,0.75,0.8,0.75,0.86,0.92,0.5,0.75,0.73
