,pclasses.csv,re2c.csv,thrust.csv,k3b.csv,clamav.csv,acdk.csv,kindb.csv
acdk.csv,4.0,2.0,5.0,0.0,2.0,0.0,1.0
clamav.csv,2.0,0.0,2.0,1.0,0.0,2.0,3.0
k3b.csv,1.0,0.0,7.0,0.0,0.0,3.0,2.0
kindb.csv,1.0,12.0,0.0,0.0,55.0,0.0,0.0
pclasses.csv,2.0,56.0,63.0,3.0,2.0,3.0,3.0
re2c.csv,0.0,0.0,0.0,5.0,2.0,2.0,0.0
thrust.csv,66.0,0.0,3.0,0.0,6.0,2.0,0.0
