,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.0,0.79,0.41,0.96,0.03,0.03,0.0,0.13,0.0,0.12
flylegacy.csv,0.8,0.76,0.98,0.84,0.86,0.33,0.79,0.62,0.36,0.56
jguard.csv,0.64,0.45,0.46,0.8,0.38,0.93,0.57,0.49,0.76,0.24
m-a-d-n-e-s-s.csv,0.24,0.15,0.57,0.33,0.25,0.07,0.21,0.28,0.96,0.12
mob-sen-plat.csv,0.16,0.97,0.46,0.11,0.05,0.2,0.07,0.51,0.24,0.36
raygina.csv,1.0,0.03,0.57,0.59,0.36,0.2,0.57,0.44,0.4,0.44
st-filteredstatistics.csv,0.68,0.61,0.67,0.63,0.59,0.73,0.57,1.0,0.6,0.64
upp-mirror.csv,0.36,0.12,0.51,0.34,0.95,0.2,0.29,0.15,0.44,0.24
wishmaster.csv,0.08,0.12,0.16,0.3,0.19,0.27,0.57,0.0,0.08,0.0
yarp.csv,0.12,0.36,0.48,0.27,0.25,0.17,0.0,0.28,0.24,0.96
