,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,0.08,0.71,0.48,0.65,0.48,0.33,0.96,0.56,0.61,0.5,1.0,0.84,0.59,0.49,0.0
bscwweasel.csv,0.01,0.14,0.25,0.95,0.38,0.25,0.0,0.05,0.13,0.17,0.0,0.06,0.53,0.11,0.0
capcode.csv,0.0,0.07,0.14,0.0,0.0,1.0,0.03,0.18,0.09,0.08,0.0,0.1,0.0,0.04,0.0
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
emite.csv,0.9,0.79,0.68,0.6,0.76,0.58,0.58,0.51,0.48,0.56,0.67,0.97,0.71,0.73,1.0
fluent-nhibernate.csv,0.02,0.07,0.25,0.2,0.19,0.17,0.06,0.29,0.04,0.19,0.0,0.39,0.88,0.08,0.0
lamp.csv,0.01,0.86,0.18,0.15,0.33,0.17,0.16,0.04,0.3,0.31,0.67,0.0,0.06,0.03,0.4
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nodal.csv,0.07,0.29,0.25,0.3,0.43,0.25,0.02,0.16,0.91,0.5,0.33,0.06,0.29,0.21,0.4
pydev.csv,0.67,0.21,0.36,0.35,0.95,0.42,0.13,0.2,0.26,1.0,0.67,0.03,0.59,0.35,0.8
retromenu.csv,0.08,0.21,0.34,0.25,0.95,0.5,0.04,0.13,0.09,0.19,0.33,0.0,0.41,0.06,0.8
smbopensoft.csv,0.96,0.14,0.23,0.1,0.57,0.17,0.35,0.22,0.22,0.25,0.67,0.16,0.18,0.09,0.8
stuproa-cims.csv,0.95,0.57,0.8,0.7,1.0,0.75,0.99,0.98,0.87,0.92,1.0,0.84,0.82,0.88,1.0
thout.csv,0.03,0.5,0.93,0.3,0.33,0.75,0.47,0.25,0.52,0.28,0.0,0.45,0.53,0.35,0.8
uface.csv,1.0,1.0,0.86,0.75,0.9,0.5,0.95,0.78,0.7,0.72,0.67,0.84,1.0,0.99,0.2
