,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.33,0.5,0.4,0.65,0.6,0.76,0.69,0.9,0.77,0.68,0.68,0.7
autowikibrowser.csv,0.67,0.8,0.63,0.76,0.63,0.73,0.62,0.6,0.64,0.68,0.91,0.83
cities3d.csv,0.0,0.83,0.18,0.63,0.17,0.7,0.62,0.0,0.27,0.48,0.91,0.0
firebird.csv,0.42,0.6,0.6,0.71,0.52,0.81,0.69,1.0,0.77,0.77,0.73,0.79
hydrogen.csv,0.75,1.0,1.0,1.0,1.0,0.92,0.75,0.2,1.0,1.0,1.0,0.64
lphant.csv,0.92,0.77,0.59,0.66,0.79,0.7,0.81,0.4,0.68,0.86,0.95,0.72
qgo.csv,0.92,0.87,0.88,0.72,0.67,0.95,0.81,0.8,0.95,0.98,1.0,0.94
quickfast.csv,0.75,0.73,0.83,0.48,0.3,0.81,0.81,0.5,1.0,0.91,0.91,0.83
rhex.csv,0.92,0.77,0.42,0.54,0.33,0.62,0.56,0.2,0.05,0.34,0.55,0.45
rocrail.csv,0.75,0.6,0.52,0.92,0.59,0.76,0.75,0.5,0.86,0.59,0.82,0.38
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
yield.csv,0.58,0.83,0.72,0.92,0.7,1.0,0.88,1.0,0.91,0.82,0.95,0.91
