,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv
acdk.csv,0.31,0.11,0.15,0.16,0.01,0.28,0.29,0.46,0.7,0.47,0.21,0.21,0.99,0.48,0.34,0.2
amygdala.csv,0.47,0.45,0.51,0.11,0.39,0.57,0.33,0.45,0.37,0.1,0.42,0.98,0.6,0.5,0.41,0.33
awemud.csv,0.99,0.7,0.35,0.33,0.48,0.59,0.66,0.38,0.83,0.2,0.61,0.59,0.66,0.55,0.54,0.52
bullet.csv,0.43,0.53,0.57,0.63,0.73,0.97,0.52,0.39,0.49,0.36,0.42,0.62,0.48,0.63,0.6,0.65
customwars.csv,0.04,0.57,0.15,0.61,0.44,0.21,0.12,0.4,0.0,0.0,0.95,0.04,0.59,0.46,0.54,0.16
dvd-create.csv,0.47,0.68,0.61,0.6,0.99,0.6,0.63,0.64,0.62,0.51,0.55,0.68,0.54,0.63,0.52,0.7
gbif-indexingtoolkit.csv,0.17,0.17,0.34,0.72,0.09,0.14,0.02,0.93,0.2,0.1,0.21,0.13,0.33,0.13,0.06,0.12
go.csv,0.59,0.99,0.41,0.35,0.65,0.61,0.66,0.46,0.54,0.59,0.56,0.72,0.45,0.47,0.57,0.44
gss.csv,0.48,0.0,0.58,0.37,0.38,0.52,0.46,0.58,0.72,0.09,0.71,0.61,0.38,0.57,0.52,1.0
kwave.csv,0.39,0.38,0.9,0.28,0.34,0.44,0.52,0.31,0.63,0.56,0.33,0.35,0.34,0.28,0.4,0.42
lsb.csv,0.59,0.61,0.41,0.98,0.48,0.69,0.27,0.54,0.68,0.1,0.63,0.38,0.66,0.64,0.42,0.67
mpgravity.csv,0.69,0.53,0.43,0.62,0.44,0.56,0.53,0.54,0.68,1.0,0.43,0.57,0.65,0.7,0.64,0.5
qcad2.csv,0.41,0.09,0.65,0.56,0.0,0.41,0.95,0.43,0.53,0.2,0.42,0.21,0.61,0.51,0.45,0.52
qtwin.csv,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01,0.04,0.0,0.0
roller.csv,0.58,0.67,0.34,0.09,0.54,0.51,0.63,0.38,0.58,0.51,0.48,0.71,0.4,1.0,0.47,0.5
xinity.csv,0.36,0.0,0.33,0.0,0.0,0.38,0.34,0.39,0.0,0.0,0.59,0.41,0.14,0.51,0.93,0.43
