,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.85,0.64,0.6,0.82,0.5,0.8,0.11,0.58,0.75,0.89,0.63,0.62
gamestone.csv,0.85,0.0,0.81,0.92,0.71,0.86,0.78,0.93,0.96,0.9,0.66,0.7
gbif-providertoolkit.csv,0.95,1.0,1.0,0.97,0.0,0.86,0.95,0.88,0.8,0.95,1.0,0.96
heekscad.csv,0.01,0.66,0.49,0.66,0.68,0.5,0.84,0.6,0.53,0.74,0.62,0.42
igarden.csv,0.86,0.88,0.84,0.1,0.79,0.7,0.93,0.76,0.84,0.93,0.72,0.94
levent.csv,0.55,0.51,0.57,0.54,0.56,0.02,0.61,0.59,0.52,0.7,0.63,0.67
lportal.csv,0.86,0.84,0.77,0.82,0.91,0.79,0.81,0.68,0.12,0.73,0.76,1.04
openmsx.csv,0.55,0.81,0.7,0.62,0.75,0.78,0.77,0.87,0.76,0.05,0.85,0.82
owlapi.csv,0.91,1.0,0.89,0.84,0.72,0.86,1.0,0.12,0.83,0.97,0.64,1.0
pnotepad.csv,0.89,0.8,0.78,0.91,0.79,0.63,0.73,0.72,0.85,0.89,0.71,0.1
quark.csv,0.84,1.0,0.88,0.94,1.0,1.0,1.0,1.0,0.99,1.0,0.0,1.0
xcsoar.csv,0.46,0.57,0.04,0.61,0.48,0.56,0.69,0.46,0.56,0.75,1.0,0.81
