,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.19,0.43,0.51,0.23,0.73,0.24,0.91,0.52,0.34,0.17,0.49,0.46
gamestone.csv,0.19,1.0,0.24,0.12,0.4,0.17,0.28,0.1,0.06,0.14,0.42,0.37
gbif-providertoolkit.csv,0.06,0.0,0.0,0.04,1.0,0.17,0.06,0.15,0.25,0.06,0.0,0.05
heekscad.csv,0.99,0.58,0.64,0.64,0.55,0.58,0.48,0.54,0.72,0.54,0.66,0.65
igarden.csv,0.17,0.15,0.19,0.92,0.25,0.38,0.13,0.28,0.2,0.1,0.52,0.07
levent.csv,0.52,0.55,0.5,0.58,0.66,0.98,0.62,0.51,0.58,0.41,0.55,0.44
lportal.csv,0.41,0.39,0.34,0.32,0.24,0.39,0.45,0.49,0.9,0.53,0.41,0.27
openmsx.csv,0.65,0.47,0.47,0.59,0.39,0.36,0.37,0.41,0.58,0.96,0.45,0.37
owlapi.csv,0.11,0.0,0.13,0.19,0.33,0.17,0.0,0.9,0.21,0.04,0.43,0.0
pnotepad.csv,0.38,0.54,0.58,0.35,0.54,0.63,0.64,0.55,0.47,0.39,0.63,0.96
quark.csv,0.19,0.0,0.15,0.07,0.0,0.0,0.0,0.0,0.01,0.0,1.0,0.0
xcsoar.csv,0.61,0.53,0.97,0.49,0.65,0.51,0.41,0.68,0.57,0.42,0.0,0.23
