,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.16,0.38,0.48,0.19,0.79,0.2,0.89,0.48,0.3,0.14,0.46,0.42
gamestone.csv,0.16,1.0,0.2,0.1,0.36,0.14,0.24,0.08,0.05,0.12,0.38,0.33
gbif-providertoolkit.csv,0.05,0.0,0.0,0.03,1.0,0.14,0.05,0.12,0.21,0.05,0.0,0.04
heekscad.csv,0.99,0.62,0.64,0.77,0.57,0.55,0.74,0.52,0.8,0.6,0.77,0.62
igarden.csv,0.14,0.12,0.16,0.9,0.21,0.33,0.11,0.24,0.17,0.08,0.54,0.06
levent.csv,0.48,0.5,0.46,0.55,0.71,0.98,0.66,0.48,0.55,0.37,0.54,0.4
lportal.csv,0.43,0.38,0.3,0.29,0.21,0.37,0.47,0.48,0.88,0.57,0.38,0.48
openmsx.csv,0.68,0.5,0.45,0.61,0.36,0.33,0.34,0.44,0.82,0.95,0.92,0.35
owlapi.csv,0.09,0.0,0.11,0.16,0.29,0.14,0.0,0.88,0.18,0.03,0.38,0.0
pnotepad.csv,0.99,0.88,0.93,0.94,0.71,0.71,0.97,0.6,0.98,0.91,0.85,0.98
quark.csv,0.16,0.0,0.12,0.06,0.0,0.0,0.0,0.0,0.01,0.0,1.0,0.0
xcsoar.csv,0.58,0.5,0.96,0.45,0.64,0.47,0.37,0.68,0.55,0.4,1.0,0.19
