,net-snmp.csv,fontforge.csv,k3d.csv,patterntesting.csv,massiv.csv,t-2.csv,xreal.csv
fontforge.csv,0.63,0.0,0.78,0.6,0.49,0.8,0.54
k3d.csv,0.79,0.96,0.01,0.97,0.76,0.93,1.01
massiv.csv,1.0,1.0,1.0,1.0,0.0,1.0,1.0
net-snmp.csv,0.02,0.61,0.73,0.55,0.54,0.76,0.88
patterntesting.csv,0.48,0.64,0.52,0.02,0.44,0.59,0.54
t-2.csv,0.92,0.72,0.92,0.96,0.74,0.06,0.86
xreal.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.0
