,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.15,0.0,0.2,0.18,0.28,0.33,0.24,0.39,0.19,0.17,0.74,0.24
emono.csv,0.27,0.25,0.15,0.23,0.48,0.73,0.32,0.77,0.32,0.42,0.56,0.0
freedom-erp.csv,0.02,0.02,0.1,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.03,0.05
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jmoney.csv,0.0,0.03,0.1,0.1,0.2,0.57,0.05,0.57,0.17,0.15,0.43,0.05
jmonkeyengine.csv,0.02,0.11,0.05,0.1,0.0,0.07,0.16,0.01,0.02,0.44,0.04,0.05
jsidplay2.csv,0.51,0.43,0.0,0.4,0.74,0.7,0.32,0.76,0.52,0.29,0.59,0.79
matrex.csv,0.24,0.25,0.3,0.05,0.08,0.3,0.01,0.14,0.13,0.14,0.02,0.0
mediate.csv,0.44,0.51,0.1,0.15,0.56,0.0,0.64,0.53,0.22,0.17,0.22,0.55
mesa3d.csv,0.46,0.08,0.4,0.21,0.14,0.37,0.07,0.29,0.18,0.33,0.01,0.1
pustefix.csv,0.49,0.41,0.45,0.0,0.48,0.37,0.43,0.69,0.12,0.39,0.2,0.19
reaper3d.csv,0.61,0.65,0.65,0.0,0.28,0.43,0.61,0.11,0.0,0.73,0.0,0.0
