,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.4,0.54,0.67,0.45,0.77,0.09,0.51,0.27,0.39,0.4,0.35,0.67
baadengine.csv,0.73,0.3,0.63,0.4,0.24,0.28,0.45,0.86,0.09,0.84,0.69,0.38
chaosrts.csv,0.42,0.46,0.49,0.54,0.48,0.51,0.4,0.49,0.63,0.54,0.77,0.38
chaperon.csv,0.48,0.27,0.5,0.59,0.0,0.99,0.53,0.31,0.47,0.53,0.17,0.43
empyrean.csv,0.0,0.76,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0
hydrate.csv,0.0,0.0,0.73,0.55,0.42,0.29,0.73,0.59,0.0,0.73,0.31,0.68
jaxlib.csv,0.33,0.37,0.0,0.2,0.99,0.43,0.19,0.44,0.42,0.28,0.67,0.25
joustsim.csv,0.34,0.61,0.0,0.59,0.5,0.52,0.61,0.84,0.17,0.63,0.2,0.5
loki-lib.csv,0.53,0.56,0.44,0.44,0.51,0.29,0.44,0.41,0.69,0.61,0.72,0.6
owlapi.csv,0.37,0.44,0.11,0.48,0.0,0.0,0.76,0.5,0.09,0.62,0.45,0.44
pamguard.csv,0.3,0.51,0.44,0.65,0.0,0.28,0.51,0.26,0.12,0.34,0.21,0.27
poormans.csv,0.35,0.23,0.27,0.47,0.0,0.0,0.54,0.31,0.0,0.68,0.43,0.55
