,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.59,0.76,0.58,0.75
columba.csv,0.36,0.42,0.41,0.46
decidr.csv,0.39,0.41,0.42,0.41
jajuk.csv,0.38,0.35,0.35,0.37
