,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,pixel-commandos.csv
cornerstone.csv,0.5,0.28,0.18,0.35,0.31,0.36,0.0,0.32,0.04,0.06,0.69,0.53,0.4,0.49,0.19,0.73,0.36
emeraldemu.csv,0.55,0.31,0.16,0.24,0.27,0.35,0.43,0.66,0.47,0.65,0.57,0.07,0.34,0.0,0.66,0.06,0.24
grafx2.csv,0.57,0.32,0.18,0.38,0.47,0.46,0.47,0.57,0.5,0.68,0.59,0.5,0.71,0.77,0.79,0.83,0.24
jahshakafx.csv,0.7,0.34,0.18,0.37,0.54,0.4,0.44,0.58,0.56,0.63,0.61,0.48,0.76,0.75,0.75,0.77,0.22
kindb.csv,0.66,0.29,0.15,0.31,0.71,0.61,0.49,0.53,0.56,0.71,0.64,0.47,0.83,0.47,0.72,0.89,0.15
maya-work-in-progress.csv,0.53,0.29,0.16,0.4,0.87,0.63,0.49,0.54,0.55,0.82,0.68,0.55,0.84,0.79,0.79,0.8,0.09
novembre.csv,0.53,0.31,0.15,0.23,0.15,0.37,0.61,0.44,0.53,0.54,0.46,0.41,0.18,0.41,0.5,0.52,0.33
ns-3.csv,0.55,0.34,0.04,0.11,0.57,0.72,0.46,0.28,0.54,0.51,0.57,0.43,0.82,0.63,0.66,0.76,0.07
nullc.csv,0.51,0.21,0.11,0.22,0.78,0.58,0.49,0.51,0.52,0.45,0.62,0.4,0.74,0.72,0.73,0.7,0.18
open-beos.csv,0.66,0.34,0.25,0.34,0.65,0.57,0.43,0.53,0.64,0.51,0.45,0.43,0.74,0.71,0.77,0.81,0.12
pixel-commandos.csv,0.07,0.2,0.1,0.21,0.31,0.27,0.43,0.24,0.21,0.17,0.1,0.0,0.23,0.48,0.59,0.43,0.57
planeshift.csv,0.47,0.23,0.13,0.23,0.84,0.65,0.5,0.55,0.58,0.58,0.63,0.42,0.77,0.74,0.75,0.83,0.07
plee-the-bear.csv,0.65,0.29,0.27,0.07,0.63,0.62,0.4,0.37,0.55,0.72,0.55,0.41,0.68,0.57,0.61,0.67,0.1
reaper-ecad.csv,0.58,0.34,0.21,0.44,0.46,0.21,0.35,0.52,0.4,0.06,0.36,0.0,0.54,0.42,0.58,0.34,0.4
sbml.csv,0.44,0.31,0.13,0.3,0.56,0.63,0.43,0.49,0.61,0.6,0.67,0.44,0.8,0.72,0.87,0.82,0.12
unimrcp.csv,0.63,0.27,0.17,0.29,0.56,0.58,0.45,0.57,0.56,0.61,0.65,0.6,0.69,0.62,0.71,0.81,0.09
unladen-swallow.csv,0.31,0.31,0.23,0.12,0.21,0.44,0.38,0.4,0.43,0.5,0.36,0.54,0.5,0.57,0.22,0.55,0.06
