,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.6,0.14,0.68,0.42,0.63,0.48,0.65,0.63,0.73,0.51,0.55
gamestone.csv,0.1,0.86,0.14,0.45,0.25,0.02,0.0,0.1,0.04,0.17,0.0
gbif-providertoolkit.csv,0.56,0.0,0.4,0.54,0.65,0.71,0.42,0.62,0.78,0.54,0.62
heekscad.csv,0.77,0.64,0.64,0.59,0.64,0.47,0.68,0.59,0.67,0.53,0.7
igarden.csv,0.55,0.29,0.39,0.66,0.53,0.46,0.38,0.28,0.58,0.13,0.53
levent.csv,0.36,0.15,0.0,0.0,0.58,0.69,0.63,0.0,0.0,0.0,0.72
lportal.csv,0.29,0.0,0.25,0.0,0.09,0.12,0.04,0.51,0.74,0.02,0.25
natpad.csv,0.67,0.29,0.61,0.47,0.51,0.63,0.59,0.73,0.72,0.5,0.73
openmsx.csv,0.69,0.63,0.39,0.53,0.25,0.42,0.04,0.36,0.0,0.57,0.02
owlapi.csv,0.44,0.0,0.51,0.38,0.54,0.57,0.05,0.79,0.28,0.47,0.51
xcsoar.csv,0.7,0.29,0.7,0.59,0.65,0.65,0.5,0.57,0.74,0.49,0.69
