,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.7,0.12,0.79,0.39,0.86,0.45,0.63,0.6,0.77,0.54,0.51
gamestone.csv,0.08,0.88,0.12,0.42,0.21,0.02,0.0,0.08,0.03,0.14,0.0
gbif-providertoolkit.csv,0.69,0.0,0.36,0.52,0.64,0.84,0.82,0.6,0.82,0.57,0.84
heekscad.csv,0.79,0.62,0.61,0.58,0.71,0.43,0.71,0.6,0.73,0.55,0.72
igarden.csv,0.51,0.25,0.34,0.68,0.5,0.41,0.34,0.24,0.59,0.11,0.49
levent.csv,0.31,0.12,0.0,0.0,0.86,0.69,0.63,0.0,0.0,0.0,0.86
lportal.csv,0.25,0.0,0.21,0.0,0.07,0.1,0.03,0.48,0.72,0.02,0.21
natpad.csv,0.68,0.25,0.75,0.45,0.5,0.65,0.61,0.76,0.8,0.55,0.77
openmsx.csv,0.74,0.88,0.36,0.87,0.21,0.37,0.03,0.32,0.0,0.55,0.02
owlapi.csv,0.51,0.0,0.5,0.35,0.79,0.73,1.0,0.8,0.24,0.69,0.51
xcsoar.csv,0.69,0.25,0.7,0.61,0.64,0.67,0.47,0.56,0.84,0.48,0.77
