,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.69,0.9,0.6,0.71,0.72,0.63,0.47,0.47,0.45,0.75,0.54
gamestone.csv,0.92,0.25,0.89,0.7,0.81,0.98,1.0,0.96,0.99,0.87,1.0
gbif-providertoolkit.csv,0.75,1.17,0.72,0.6,0.48,0.59,0.88,0.51,0.39,0.7,0.72
heekscad.csv,0.36,0.45,0.45,0.55,0.61,0.61,0.52,0.59,0.57,0.7,0.46
igarden.csv,0.52,0.75,0.67,0.53,0.59,0.62,0.71,0.78,0.6,0.89,0.56
levent.csv,0.69,0.88,1.0,1.0,0.76,0.43,0.54,1.0,1.0,1.0,0.58
lportal.csv,0.78,1.0,0.8,1.0,0.93,0.9,0.97,0.59,0.34,0.98,0.79
natpad.csv,0.5,0.81,0.69,0.69,0.68,0.56,0.61,0.44,0.52,0.78,0.44
openmsx.csv,0.52,0.72,0.75,0.8,0.82,0.65,1.0,0.72,1.0,0.55,0.98
owlapi.csv,0.88,1.07,0.68,0.75,0.79,0.74,0.99,0.31,0.8,0.85,0.7
xcsoar.csv,0.4,0.76,0.41,0.6,0.48,0.54,0.61,0.58,0.53,0.69,0.55
